,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.013296503458235538,-0.05517297861952445,-0.029237346111309504,16,15
2001-02-28,0.0058755378225249875,0.01338442664939535,0.007745908636469049,16,20
2001-03-31,0.09718052584635353,0.012454303248871442,0.03354832003250497,9,25
2001-04-30,-0.06839746986903132,0.013731832281748808,0.0017110687306547692,12,19
2001-05-31,-0.09722530701948405,0.06656301653745479,-0.03326116266731398,15,12
2001-06-30,-0.018383100073663148,-0.014821608309997446,-0.016913545725307007,20,10
2001-07-31,0.10035742353606025,-0.014551924411348598,0.05848769730606975,14,16
2001-08-31,0.0629532924031367,-0.005732374880808137,0.014962119865289919,7,21
2001-09-30,-0.015243736585209016,0.004194073325804609,0.003340729180216064,5,28
2001-10-31,-0.056700728210338724,-0.0031100990963492817,-0.009820376988822778,10,24
2001-11-30,0.023815461580400623,-0.05153842356589462,-0.0199504212161294,18,17
2001-12-31,-0.037156835504900156,0.004778807304827194,-0.03275199504104798,30,6
2002-01-31,0.019708387976890635,0.02552272693117324,0.02266011954441517,23,10
2002-02-28,-0.0669386372657092,0.07040949644883704,-0.010114006602084603,15,15
2002-03-31,-0.07495443573754014,0.05691501712088952,0.02432500684937333,16,15
2002-04-30,0.02185180297649781,0.0034748357250975618,0.008451269075804093,15,18
2002-05-31,-0.05452905114707388,0.12210889465730392,0.05798331291544854,14,19
2002-06-30,0.11670226494825485,-0.08809794613514887,-0.051126338894392734,6,30
2002-07-31,0.037198523753079506,-0.009558690557239156,-0.0006296084090910796,7,28
2002-08-31,-0.04428691853127102,0.06666041737473755,0.046123196011890175,9,28
2002-09-30,0.005477370403347604,0.03069841752325972,0.023978443477504732,8,27
2002-10-31,-0.026491059865158307,0.03672850064416804,-0.01081576969873208,23,12
2002-11-30,0.009317159181108169,-0.015173240753318069,0.002615612361325293,24,13
2002-12-31,0.0727677517220687,-0.11737997497801157,-0.043464775135532915,23,13
2003-01-31,0.09412536287837026,-0.0446289796454661,0.055381291743576797,17,17
2003-02-28,0.004475297396631755,-0.007307778332241409,-0.0035239955951891487,7,24
2003-03-31,0.02013672066473593,-0.01490118838004327,0.016537780205629928,17,13
2003-04-30,-0.006023836320995147,0.012423235682569008,-0.00386245210729154,25,7
2003-05-31,-0.020413311910544695,0.010145475509862927,-0.01941011865284905,35,3
2003-06-30,0.07220556070695555,-0.05534288017687831,0.0361430132004822,36,5
2003-07-31,-0.031008097130378557,0.0011041900716641537,-0.017504545324186545,26,11
2003-08-31,0.09563636763320112,-0.09648455936287421,-0.007175883275482254,20,17
2003-09-30,0.029082442296681197,-0.019889145801322984,0.0031760750370197913,15,17
2003-10-31,0.02033566483413809,-0.01691885962954153,0.015373942924932759,16,12
2003-11-30,-0.03728365771839949,-0.006746031659644064,-0.010298085774775886,10,11
2003-12-31,-0.0006686868643656515,0.023350138981630703,0.012271710311252241,18,9
2004-01-31,-0.007799837931012887,-0.009797622187264907,-0.009146868277640385,12,13
2004-02-29,0.019973401588249343,-0.035775015670010346,-0.0036456111778194293,14,15
2004-03-31,-0.06230028835639702,0.024645548222101143,0.007411488204390403,9,21
2004-04-30,0.009722681085689135,0.0011936586433662507,0.0018679200790004346,9,27
2004-05-31,-0.008654127798213377,-0.04317858265671186,-0.020826401658048884,10,26
2004-06-30,0.015958747268474426,0.010031559736396122,0.014152837059706998,13,18
2004-07-31,0.016244347295651697,-0.06370266961839381,-0.02908783788715698,10,22
2004-08-31,0.07024591640187888,-0.06949082650581125,0.009733410095277718,9,25
2004-09-30,-0.06113770923384137,0.02765002191935584,-0.014192710305465659,9,23
2004-10-31,0.035094486139375256,0.004650367738850458,0.019529827884929078,23,14
2004-11-30,-0.018802499526822093,0.002928590544580955,-0.012545629368516602,32,9
2004-12-31,-0.0004482605859836512,0.01953926437881609,0.006060367324680882,30,9
2005-01-31,0.053095849658178665,-0.02266224902199989,0.040768521712115396,21,12
2005-02-28,-0.0132177048924957,-0.04218216909549406,-0.027317290771801367,17,14
2005-03-31,0.11272878487576826,-0.04788987945496176,-0.009362899800721613,11,24
2005-04-30,-0.04317374725171381,0.028072789842757843,0.00797783393959541,11,23
2005-05-31,0.04184897453724965,-0.004020951304752066,0.005983826368734427,14,20
2005-06-30,-0.020885985303383273,-0.022124528295784374,-0.02174689929306977,15,15
2005-07-31,0.02678039724977538,-0.05737045835242969,0.004797022840807311,28,7
2005-08-31,0.010122256160867302,-0.005542210982439089,0.00020580805968256985,16,13
2005-09-30,0.060571038054258695,0.03131033627398737,0.04055896739858454,16,14
2005-10-31,-0.0628890062426122,-0.01600578124559866,-0.0257649612070797,8,27
2005-11-30,-0.004326766388671498,-0.009434605376818547,-0.0061923235170247394,16,15
2005-12-31,-0.012994974262600276,0.016995290454629313,-0.002518703100057701,17,16
2006-01-31,-0.0312200030935036,0.061977957079496354,-0.0181314710458343,28,8
2006-02-28,-0.02078574566383657,-0.026886180145295875,-0.022876097897599493,16,11
2006-03-31,-0.007139399305440633,0.010990726643229334,-0.00022759622289411464,24,10
2006-04-30,0.00979318909396915,-0.011344922464686649,-0.0032222788516144876,17,16
2006-05-31,0.009267424100261604,-0.029002180715911707,-0.01204831002995222,9,26
2006-06-30,0.06045843745422018,-0.037796590181645995,-0.007096071947092247,8,29
2006-07-31,0.06823677335270466,-0.00925739836314397,0.01441568323183472,7,30
2006-08-31,-0.008984026079386646,-0.02006055530106069,-0.01675434098712351,15,21
2006-09-30,0.03984692735158848,-0.02745496896748573,0.004582161215786882,19,16
