,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.03433871913712496,-0.028155781539448612,0.005464677685290335,85,73
2001-02-28,-0.0021615153374522373,0.005441967524091415,0.0020352122159971813,69,85
2001-03-31,-0.004849492750375622,-0.012828975765349466,-0.00909830838172533,72,82
2001-04-30,-0.025196521442276694,0.017596205596229826,-0.0009396815167061523,81,106
2001-05-31,-0.09762914737487453,0.1000604670234769,-0.014996980509955156,110,79
2001-06-30,0.053186605793285255,-0.0895328631792926,0.005347677646052457,119,60
2001-07-31,0.11930839676118343,-0.06676431195648586,0.01298113463680098,69,92
2001-08-31,0.05924913518152202,-0.04858332943308616,-0.026617457011591895,33,129
2001-09-30,0.002270065987915044,-0.009879442766854095,-0.008066083251216908,30,171
2001-10-31,-0.0011509734622627062,-0.00638372578615873,-0.0048113223784855405,61,142
2001-11-30,0.06211491154045196,-0.06048771559551904,0.006883034959395718,111,91
2001-12-31,-0.012603467966256698,0.02066789940647821,-0.008679957662868148,187,25
2002-01-31,-0.014798802466522907,0.010353508368949245,-0.008091519577063666,132,48
2002-02-28,-0.042770835852088365,0.04892106037691732,0.0030751122624144795,92,92
2002-03-31,-0.09111463308160338,0.10138463883050476,-0.003182866899529291,88,74
2002-04-30,0.004823425183974164,-0.020439389583543976,-0.008611135270428547,81,92
2002-05-31,-0.07988239738073935,0.08777938279169727,0.013655227347041077,84,106
2002-06-30,0.09438994945518557,-0.05921720054934987,-0.03229635982690551,34,160
2002-07-31,0.09567004515037286,-0.11522757162693192,-0.0747964222965678,37,156
2002-08-31,-0.05949524709120472,0.038780984238347485,0.015059135296731436,49,154
2002-09-30,-0.012117800286530632,0.023566258816594174,0.015880461471305753,42,153
2002-10-31,-0.01629626537043042,0.014206348536431787,-0.004818477663209073,121,73
2002-11-30,0.019760806106705674,-0.030882845229271646,0.0009503070390569561,132,78
2002-12-31,0.08861479348555705,-0.07490958494000503,0.03021322976214202,126,70
2003-01-31,0.10155869966613336,-0.09393050755705441,-0.0038521473659776924,94,110
2003-02-28,0.025889223657762823,-0.020827913951530764,-0.008829523417996345,47,136
2003-03-31,0.04121805142004969,-0.05847771672764041,-0.004098206828900357,90,75
