,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.02464711002242671,-0.04903864612783007,-0.01219576805270168,17,18
2001-02-28,0.07442476379137793,-0.052308649722748894,0.011058057034314516,18,16
2001-03-31,0.004246027065505039,-0.012258824725375655,-0.0040063988299353075,18,18
2001-04-30,-0.018979860416295326,0.04674270053054807,0.013881420057126372,13,18
2001-05-31,-0.07874692745099464,0.08502603613578362,0.0031395543423944905,18,12
2001-06-30,0.06247822601019121,-0.08668912060614532,-0.012105447297977058,23,9
2001-07-31,0.0671012615089059,-0.09266044974388514,-0.01277959411748962,11,19
2001-08-31,0.03551655588069306,-0.024775830373925285,0.005370362753383887,6,27
2001-09-30,0.04179037315018683,-0.01739388924433328,0.012198241952926774,4,42
2001-10-31,-0.029321770952874582,0.03515214795355251,0.002915188500338964,8,30
2001-11-30,0.058774073889469834,-0.03390750257500744,0.012433285657231199,22,18
2001-12-31,-0.020062611400390232,-0.07643457760739186,-0.048248594503891046,38,4
2002-01-31,-0.05056924127714305,0.00634637395070407,-0.022111433663219493,31,6
2002-02-28,-0.059098131359762725,0.049795951014526475,-0.004651090172618125,20,16
2002-03-31,-0.05692267295267489,0.07166203066187801,0.007369678854601561,24,16
2002-04-30,-0.0016779246127558622,-0.00759395848191766,-0.004635941547336761,19,19
2002-05-31,-0.053957196796175944,0.06360513451316241,0.004823968858493233,17,23
2002-06-30,0.21870268699873976,-0.08553076255606194,0.06658596222133892,6,39
2002-07-31,0.24874803270956541,-0.09500028292699962,0.07687387489128289,5,42
2002-08-31,-0.06327889100074698,0.03855469811888758,-0.012362096440929699,8,31
2002-09-30,-0.018584063519164234,0.0013901185290288204,-0.008596972495067707,6,34
2002-10-31,-0.006562045104783197,0.020821173268238763,0.007129564081727783,20,15
2002-11-30,0.012687652043419012,-0.023657181011985367,-0.005484764484283177,26,15
2002-12-31,0.08995235476688913,-0.07737890787949982,0.006286723443694658,27,15
2003-01-31,0.1114937976774732,-0.13373243111657548,-0.011119316719551145,19,20
2003-02-28,0.024202154360832156,-0.002484414307458223,0.010858870026686967,9,28
2003-03-31,0.007215901793864534,-0.02194344667406499,-0.007363772440100228,16,15
2003-04-30,0.06294944565246795,-0.1293474465163126,-0.03319900043192233,34,5
2003-05-31,-0.015761426667430283,-0.0830969600522769,-0.049429193359853595,51,1
2003-06-30,0.08136681018655853,-0.12354540729671243,-0.02108929855507695,51,2
2003-07-31,0.013314629150965464,-0.018279843280068517,-0.002482607064551527,41,5
2003-08-31,0.0441861349324514,-0.031045312175535997,0.006570411378457703,21,11
2003-09-30,0.045374825527696984,-0.021318674526475682,0.012028075500610651,17,15
2003-10-31,0.004113433868252902,0.004371209876346132,0.004242321872299518,23,11
2003-11-30,0.009691538509875806,-0.013810837666034954,-0.002059649578079574,18,16
2003-12-31,-0.005987534378978035,-0.011780475778375122,-0.008884005078676578,28,9
2004-01-31,0.01760590257913223,-0.021417544518531995,-0.001905820969699882,17,18
2004-02-29,0.0203899647899373,-0.032639540840270695,-0.006124788025166698,17,23
2004-03-31,-0.01723743474126424,0.036087092270519136,0.009424828764627448,12,32
2004-04-30,0.008537358953381745,-0.0031595296487175553,0.002688914652332095,8,38
2004-05-31,0.029430980070222032,-0.05462745495864551,-0.012598237444211739,8,34
2004-06-30,0.03346664717353996,-0.028757805569129134,0.0023544208022054144,14,25
2004-07-31,0.040429296942508734,-0.06334682035556541,-0.011458761706528337,9,29
2004-08-31,0.04734975738299478,-0.05257098717295368,-0.002610614894979449,7,30
2004-09-30,-0.05612450980197352,0.0156688670284205,-0.020227821386776507,10,28
2004-10-31,0.033712990638357684,-0.029910254107410498,0.0019013682654735933,28,17
2004-11-30,-0.01535120009609045,0.01651713268252306,0.0005829662932163044,42,8
2004-12-31,-0.025515221736693544,0.0007770265838260198,-0.012369097576433763,35,7
2005-01-31,0.02475910613905746,-0.01567425881376691,0.004542423662645274,25,11
2005-02-28,0.03290601653340848,-0.01660417257656472,0.00815092197842188,17,19
2005-03-31,0.05374279566729648,-0.056258288193941255,-0.0012577462633223888,9,30
2005-04-30,-0.0042442339404456,0.013618914483088745,0.004687340271321573,10,30
2005-05-31,0.019470238500281338,-0.015933084551964873,0.0017685769741582324,16,21
2005-06-30,-0.01555769309009453,0.006547832061428099,-0.004504930514333216,19,18
2005-07-31,0.04576327849495299,-0.1063357403034667,-0.03028623090425685,36,5
2005-08-31,0.00019144297297747507,0.004155738624203221,0.002173590798590348,20,12
2005-09-30,0.04012615380368337,-0.041280450934447904,-0.0005771485653822683,16,17
2005-10-31,-0.06505151154781656,-0.02246610534020804,-0.0437588084440123,8,35
2005-11-30,0.04599236353738918,-0.005998413671424429,0.019996974932982376,16,17
2005-12-31,0.0021935654537088576,-0.007392311003775796,-0.0025993727750334692,16,18
2006-01-31,-0.019272496669686365,-0.0008622417318482883,-0.010067369200767326,35,10
2006-02-28,-0.01939042503711534,-0.01024879724997105,-0.014819611143543195,22,14
2006-03-31,-0.029812063345336696,0.037394417623568287,0.003791177139115795,28,12
2006-04-30,0.02581925796349032,-0.034789610787155756,-0.004485176411832718,19,19
2006-05-31,0.05127322741778263,-0.017991415446200393,0.01664090598579112,11,33
2006-06-30,0.04157526246690227,-0.0542310945500181,-0.006327916041557916,8,35
2006-07-31,0.0026317979128801855,-0.04265370669032198,-0.020010954388720897,9,42
2006-08-31,0.012340241288167972,-0.018117947263523424,-0.002888852987677726,17,24
2006-09-30,0.03418283951157862,-0.03469300128698153,-0.0002550808877014553,27,18
2006-10-31,0.0011018208982099692,-0.0006668455836707755,0.00021748765726959686,38,7
2006-11-30,0.020266219542629856,-0.037157459453962906,-0.008445619955666525,37,10
2006-12-31,0.027624724145538376,-0.058598867295326734,-0.015487071574894179,26,12
2007-01-31,0.038716912225900076,-0.0030803681523654046,0.017818272036767335,23,13
2007-02-28,-0.025489056209886243,0.03606937560902776,0.005290159699570758,18,23
2007-03-31,-0.022661484211014195,0.049389510963012376,0.01336401337599909,22,19
2007-04-30,0.009085250212959917,-0.016201962944682707,-0.0035583563658613954,22,17
2007-05-31,0.038398601967088976,-0.03679292701016715,0.0008028374784609139,34,11
2007-06-30,0.03779284850205333,-0.0038889767284340537,0.01695193588680964,24,19
2007-07-31,-0.036518638691741524,0.06721109418727303,0.015346227747765753,10,43
2007-08-31,0.012912998968969263,0.005828862640415751,0.009370930804692507,8,47
2007-09-30,-0.03784325637635837,0.07454476904456232,0.018350756334101978,19,36
2007-10-31,-0.02850823608843717,0.018295669737692602,-0.005106283175372284,33,22
2007-11-30,-0.016423161933271847,-0.015390254052243754,-0.0159067079927578,22,31
2007-12-31,0.09670007292143022,-0.06917109623338966,0.013764488344020283,15,36
2008-01-31,0.05623645517436933,-0.013559275429621827,0.02133858987237375,8,52
2008-02-29,-0.08193291976636342,0.08342732822365409,0.0007472042286453331,11,48
2008-03-31,0.02504286047884602,-0.026094187855514785,-0.0005256636883343834,11,40
2008-04-30,0.016498718358027433,-0.019768728230321046,-0.0016350049361468066,25,17
2008-05-31,-0.090015180400088,0.08608047734844504,-0.0019673515258214827,34,10
2008-06-30,-0.08283829791595654,0.18279144216706664,0.04997657212555505,18,22
2008-07-31,-0.07839542199799808,0.10545803705411602,0.013531307528058971,17,32
2008-08-31,0.06224192094741762,-0.04212366919768472,0.010059125874866452,16,29
2008-09-30,-0.0761809522663002,0.07362769602348111,-0.001276628121409544,16,31
2008-10-31,-0.21555941058105416,0.0915079866820517,-0.062025711949501225,3,63
2008-11-30,0.15793071644159454,-0.08533250626151859,0.036299105090037975,3,64
2008-12-31,0.44648864183092024,-0.14842901364528108,0.14902981409281957,9,43
2009-01-31,0.04521423391070167,-0.02804080042706174,0.008586716741819966,19,27
2009-02-28,0.002498629507251375,-0.04879401146047716,-0.023147690976612893,15,28
2009-03-31,0.09759198577361128,-0.07441934654426921,0.011586319614671034,22,18
2009-04-30,0.05013707459425971,-0.05410584054291492,-0.0019843829743276045,46,7
2009-05-31,0.040814981274559244,0.022607998677436073,0.03171148997599766,62,1
2009-06-30,-0.016136556443971276,0.09813739727207166,0.04100042041405019,49,3
2009-07-31,0.06237309905717904,-0.020127684559372413,0.021122707248903312,41,4
2009-08-31,0.03663829722925636,-0.03036400654596239,0.003137145341646984,34,7
2009-09-30,-0.01940913245476757,0.027716437095291483,0.004153652320261957,36,6
2009-10-31,0.0169173981130324,-0.061144681478205676,-0.022113641682586636,9,20
2009-11-30,0.06411678373050837,-0.08926257642348272,-0.012572896346487172,13,20
2009-12-31,0.015475725679605886,-0.044066639832429116,-0.014295457076411614,11,21
2010-01-31,-0.053735540802708454,0.065626813686621,0.005945636441956274,16,22
2010-02-28,-0.05462108404322549,0.04980915306189402,-0.0024059654906657367,15,28
2010-03-31,0.08098844630029635,-0.07355871955023122,0.0037148633750325663,21,21
2010-04-30,-0.024031144393423378,0.03849438911759322,0.007231622362084919,34,8
2010-05-31,0.11025928599085205,-0.1173937780638058,-0.003567246036476873,10,34
2010-06-30,0.04163162980828711,-0.05168618742153182,-0.005027278806622355,2,63
2010-07-31,0.0003974449710205676,-0.009428743259806239,-0.004515649144392835,4,52
2010-08-31,0.07651568587520463,-0.07905692734488712,-0.0012706207348412435,6,46
2010-09-30,-0.0006658644707505852,-0.05231757897542364,-0.026491721723087114,37,7
2010-10-31,0.04057300533004353,-0.05894939256284531,-0.00918819361640089,26,12
2010-11-30,0.013096019775880995,-0.06464138489042975,-0.025772682557274378,41,6
2010-12-31,0.017748158573263548,-0.05794670184224509,-0.02009927163449077,27,13
2011-01-31,-0.0001522258882129641,0.012416523453044136,0.006132148782415586,24,16
2011-02-28,-0.020991494167434895,0.003304672798553948,-0.008843410684440474,30,12
2011-03-31,-0.05225691177613407,0.05098606267778253,-0.0006354245491757698,14,23
2011-04-30,-0.07758320785614718,0.048200135421444246,-0.014691536217351468,15,18
2011-05-31,-0.11213830179134186,0.05132457336963648,-0.03040686421085269,13,24
2011-06-30,0.08188110906347376,-0.11943908334551175,-0.018778987141018992,8,29
2011-07-31,-0.0034828100781856817,-0.011809819875351135,-0.007646314976768408,3,55
2011-08-31,0.07265285702239394,0.001982110711916206,0.03731748386715507,1,53
2011-09-30,0.0366657772248678,-0.04871101813304858,-0.00602262045409039,1,70
2011-10-31,0.06256498948499595,-0.04458650907394011,0.00898924020552792,18,21
2011-11-30,0.022474894144965032,-0.04661018542750227,-0.012067645641268618,27,17
2011-12-31,-0.0032506968987353704,-0.02832232220431231,-0.01578650955152384,43,8
2012-01-31,-0.10856295580571698,0.020575889433365212,-0.04399353318617588,25,20
2012-02-29,0.04290432949645096,-0.030813380905775293,0.006045474295337834,32,15
2012-03-31,-0.0025808110153321606,0.0018842547082415528,-0.0003482781535453039,35,12
2012-04-30,0.012170758026283618,-0.04723461267166626,-0.01753192732269132,22,20
2012-05-31,0.061752303123727495,-0.02420349701874849,0.0187744030524895,5,44
2012-06-30,-0.01645945598473531,-0.011478310721618182,-0.013968883353176746,11,32
2012-07-31,0.012006258762185959,0.0015265710630481119,0.006766414912617036,14,28
2012-08-31,0.017009301471744894,-0.015119395677700346,0.0009449528970222739,27,16
2012-09-30,0.05403663849757574,-0.06739387374965872,-0.006678617626041487,26,14
2012-10-31,-0.004725134803348884,-0.025380051560884485,-0.015052593182116684,20,20
2012-11-30,0.04742561557000987,-0.05942402410124486,-0.005999204265617494,16,24
2012-12-31,0.032625544271866605,-0.016247428574639945,0.00818905784861333,15,25
2013-01-31,0.007047474562908046,-0.05479542931194749,-0.023873977374519722,36,8
2013-02-28,-0.010141033512631679,-0.012980098213304016,-0.011560565862967848,36,9
2013-03-31,0.05627651140385434,-0.07637040493703157,-0.010046946766588613,42,6
2013-04-30,-0.024868493944929206,0.016906934769108876,-0.003980779587910165,24,14
2013-05-31,0.040301645612829166,-0.03815854386092542,0.0010715508759518745,29,16
2013-06-30,0.03675988139220172,-0.0577172600560685,-0.010478689331933393,13,30
2013-07-31,0.016147859299089296,-0.03713166255876949,-0.010491901629840098,22,21
2013-08-31,0.0451261335247185,-0.03050495914630524,0.007310587189206628,9,38
2013-09-30,-0.023793893492518647,0.01777203139394612,-0.003010931049286264,21,17
2013-10-31,0.04425769587059877,-0.050535614243884766,-0.0031389591866429964,18,20
2013-11-30,0.0008383476662034749,0.008302856926771556,0.004570602296487515,37,12
2013-12-31,-0.021162752891156347,-0.014940354018278089,-0.018051553454717217,27,14
2014-01-31,0.03835113772676008,-0.02932455014263099,0.004513293792064546,14,38
2014-02-28,0.041262085688572446,-0.02106562842204828,0.010098228633262082,19,26
2014-03-31,-0.023259700755672817,0.023090601769248372,-8.454949321222253e-05,15,31
2014-04-30,0.03883461498878715,-0.04731894916744506,-0.004242167089328952,18,21
2014-05-31,-0.011201561592606924,0.013445967941302739,0.0011222031743479072,12,32
2014-06-30,0.04274329519552454,-0.043560314940851386,-0.00040850987266342204,14,20
2014-07-31,0.03919364299953078,-0.043211092853216684,-0.002008724926842953,11,28
2014-08-31,-0.006437458708929721,-0.004583938916625252,-0.005510698812777487,19,20
2014-09-30,-0.02271462361286894,0.014552277013164958,-0.004081173299851991,8,39
2014-10-31,0.04246872392832933,-0.06965646196456755,-0.013593869018119112,24,15
2014-11-30,0.009287712431831848,-0.0006509118452401421,0.004318400293295853,20,20
2014-12-31,0.01086941560721382,0.007046323254483521,0.00895786943084867,31,13
2015-01-31,0.012845998998191275,-0.014814800499546029,-0.0009844007506773769,18,31
2015-02-28,-0.004787984608727819,0.002386872245694584,-0.0012005561815166177,28,22
2015-03-31,0.009498368920258076,-0.014051652267410146,-0.0022766416735760346,24,23
2015-04-30,-0.04443837169530099,0.05690993086709385,0.006235779585896432,32,20
2015-05-31,-0.033489725328786996,0.038815833065055025,0.0026630538681340146,18,32
2015-06-30,0.0647282625388009,-0.08278911710321338,-0.009030427282206238,13,36
2015-07-31,-0.004339511416961232,-0.007632684714073345,-0.005986098065517288,20,25
2015-08-31,-0.031802846376455286,0.011498114768569465,-0.01015236580394291,7,47
2015-09-30,-0.09389869903025412,0.04653662784964914,-0.02368103559030249,7,50
2015-10-31,0.01568555963536369,-0.03214036222290932,-0.008227401293772816,15,36
2015-11-30,0.07760047527331315,-0.0937685385444689,-0.008084031635577874,31,16
2015-12-31,0.022923362179572384,-0.013957140440324891,0.0044831108696237465,37,16
2016-01-31,0.009255032023119518,-0.04389027783103429,-0.017317622903957386,8,44
2016-02-29,-0.0010634006176834234,-0.03882077056664677,-0.019942085592165096,12,42
2016-03-31,0.058792127398119766,-0.028265252615663296,0.015263437391228235,33,18
2016-04-30,0.022947247767735667,0.013562269969126241,0.018254758868430955,50,8
2016-05-31,-0.0016190426217744759,-0.0038616013986921566,-0.0027403220102333163,52,7
2016-06-30,-0.012956887298721576,0.030697751967039968,0.008870432334159196,28,17
2016-07-31,0.04437549175157402,-0.05076885828175487,-0.003196683265090424,37,12
2016-08-31,0.005549225654349925,-0.041868539751897214,-0.018159657048773644,25,17
2016-09-30,0.03334313516792746,-0.012308125065986464,0.010517505050970499,26,14
2016-10-31,0.04019899465661148,-0.06560498497716165,-0.012702995160275083,10,33
2016-11-30,0.01292417427331928,0.007379174593273979,0.01015167443329663,27,21
2016-12-31,0.016175903182997987,-0.011047931414626448,0.0025639858841857693,30,17
2017-01-31,0.021602342911867453,-0.022920516642446695,-0.0006590868652896209,39,12
