,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.012022349020294483,0.018186228862995226,0.013964557198636048,82,88
2001-02-28,-0.020313437144722994,0.010956968140791133,-0.01495627285228272,89,78
2001-03-31,-0.013252393694133707,-0.010023991056155887,-0.012384610462437861,88,87
2001-04-30,-0.05992111737357365,0.056483516086029355,-0.011627607500790886,63,88
2001-05-31,-0.0890938875226193,0.05972801898267416,-0.024031684279089954,88,61
2001-06-30,0.013015957186893919,-0.033234110889476504,0.0015971218924324096,115,44
2001-07-31,0.07868733971640705,-0.09731419338188783,-0.032155383116735596,54,93
2001-08-31,-0.04980041714632702,-0.012283059520056424,-0.017053483490587277,30,135
2001-09-30,0.025455179082567246,-0.004787459667041539,-0.0037669915609178173,19,209
2001-10-31,0.02976116102483402,0.010756965564150723,0.014331002652280943,40,150
2001-11-30,0.04027264017346527,-0.019569243374365226,0.003865392420770195,107,90
2001-12-31,-0.06311034946483217,0.08627880144887934,-0.041162745581022425,187,21
2002-01-31,-0.01310375020602954,-0.0017392611163681991,-0.011304737588005147,154,31
2002-02-28,-0.044818305453208286,0.06090060614513574,-0.0038984557288742326,97,80
2002-03-31,-0.047622650071365284,0.07778532456094998,0.007981059112897275,117,80
2002-04-30,-0.0107890937372205,-0.026134805494144014,-0.019927067766872794,96,96
2002-05-31,-0.06941634067222165,0.08404532124373004,0.0440014859998128,85,115
2002-06-30,0.08480380398142719,-0.044608796117724135,-0.032697695759762946,31,195
2002-07-31,0.08870277506065803,-0.04457843050237813,-0.032287750901965305,23,211
2002-08-31,-0.05910886509888314,0.04439469348553006,0.031447254510866995,39,156
2002-09-30,-0.03811628322177594,0.03276072845249554,0.027013363570125033,28,167
2002-10-31,-0.0014445860879963453,0.00937018574983541,0.005103910909958814,97,73
2002-11-30,0.007414018422080085,-0.02013779334571473,-0.005312196702306381,131,72
2002-12-31,0.09005091099179761,-0.08427295264052476,0.018324993373114693,134,75
2003-01-31,0.07817838711590717,-0.05227883617148011,0.005322006409173744,96,100
2003-02-28,0.008417736864358054,-0.011295077999100475,-0.008536018807796064,42,137
2003-03-31,0.02463382116214651,-0.031309933892555694,0.000439633731062577,79,74
2003-04-30,0.015669264276459642,-0.007840173859752799,0.014137837859562257,170,24
2003-05-31,-0.005450890423638638,-0.013302236275950325,-0.005493556902411321,255,6
2003-06-30,0.054291311232898765,-0.05197718433717178,0.051363447548709314,252,10
2003-07-31,0.007420945541007056,-0.001223627088493522,0.0063077275929874195,203,23
2003-08-31,0.0751507999654177,-0.03677676275194129,0.03487712608865502,105,55
2003-09-30,0.024162972329965015,-0.016340315238914216,0.009154857577421998,86,72
2003-10-31,0.01777596209640862,-0.021785024812739872,0.004402279913440892,116,52
2003-11-30,-0.005555676024744317,0.024328202057780877,0.009902682352968168,88,78
2003-12-31,-0.004892430352027859,0.03027526573732886,0.004649956050361233,141,45
2004-01-31,0.013318354891644324,-0.017307485974376625,-0.0035564400206485945,84,89
2004-02-29,0.016374168642980236,-0.016891205294601298,-0.00013752679042272126,84,112
2004-03-31,-0.04253930880923069,0.02364324256396984,0.0015192811861968517,57,160
2004-04-30,-0.003818442773426855,-0.0030409761120553974,-0.00325714413385484,39,188
2004-05-31,-0.004301977779064406,-0.019729389094987376,-0.014787255992798743,40,167
2004-06-30,0.010333046475498904,-0.020723826946102426,-0.007010741394825335,70,122
2004-07-31,0.04171412429661801,-0.03467448026432344,-0.01887279578521602,46,145
2004-08-31,0.04267095155791645,-0.03978126790680736,-0.02020214951761018,32,147
2004-09-30,-0.024143269684288524,0.02358569780757841,0.01098393238778682,48,140
2004-10-31,0.037995769084348846,-0.030273978942261758,0.017880705260965038,141,82
2004-11-30,-0.015346990320888682,0.02768014675976056,-0.006324603026909708,207,41
2004-12-31,-0.014462625042421426,0.003163831496702856,-0.011134053066924056,176,36
