,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.0032500462032997936,-0.0675388801575312,-0.02616057327991353,17,16
2001-02-28,0.004341765871083921,0.03297513941304087,0.014637354269829662,16,17
2001-03-31,0.08700364956231782,-0.017602941200635824,0.005255152435459381,9,25
2001-04-30,-0.03494250286979638,0.03631898595336929,-0.01756518958194759,11,15
2001-05-31,-0.008439266889788575,0.06712740628632288,0.008061076835238688,17,11
2001-06-30,-0.012997843029806768,-0.04856801318693447,-0.019986856546116302,20,8
2001-07-31,0.024604379820228964,-0.036923206221242365,-0.01974253122585448,10,16
2001-08-31,0.018302350940714494,0.009951474361157849,0.010676247072976618,6,25
2001-09-30,0.034787986694232685,0.004053288185431481,0.004864377237679225,4,35
2001-10-31,-0.022991075378464794,-0.015738077009590717,-0.016615310866850374,6,26
2001-11-30,-0.006809749537889789,-0.008446065548339566,-0.007842728857475178,18,16
2001-12-31,-0.09275426792877979,-0.08313780112319306,-0.09231123294472336,35,4
2002-01-31,-0.021039681667987198,-0.04319481237968362,-0.027302051911355443,27,7
2002-02-28,-0.0594215508505585,0.04990874830987335,-0.013772657465368722,17,14
2002-03-31,0.03854032847581273,0.06571531741936616,0.049994957753191994,22,13
2002-04-30,-0.025565987532937224,-0.013493954473853225,-0.016449531920242268,18,18
2002-05-31,-0.0047985929610967,0.05272467933563811,0.0463810728710879,16,21
2002-06-30,0.14081246125348676,-0.023883932453779386,-0.006745886416425909,5,36
2002-07-31,0.06881545686889995,-0.026275943414118846,-0.01991562823435399,3,40
2002-08-31,-0.016431644550091412,0.0560666006315456,0.049916075236235084,6,27
2002-09-30,0.019013959409070226,0.019572405453248322,0.019501758981398984,6,28
2002-10-31,-0.0056240626420260035,0.015621587809758636,0.004143478298871537,19,12
2002-11-30,0.02456328470876011,-0.021385493023059764,0.0125398938421886,26,13
2002-12-31,0.08689117908039339,-0.11531216896370161,-0.03888621086022525,23,13
2003-01-31,0.07186325139526047,-0.06601981488124736,0.03441311221279718,18,18
2003-02-28,-0.00816086626123435,0.0041832644623157195,0.002190160908586242,9,26
2003-03-31,0.01904400121055117,-0.03145672832661792,0.012323576837643823,16,14
2003-04-30,0.02784100751954987,0.004561708619910095,0.024620644457417063,29,4
2003-05-31,-0.022698709171351434,-0.0830969600522769,-0.022863496075122555,44,1
2003-06-30,0.04711464492306644,-0.039707066330736326,0.0415461403416575,47,3
2003-07-31,-0.018830914018651584,0.02816584066326149,-0.011645029001090816,35,5
2003-08-31,0.05333490839841305,-0.03590594912503303,0.017299040297998235,21,10
2003-09-30,0.017555042554098253,-0.005930064206281085,0.007923305013454174,16,13
2003-10-31,0.013667251907578034,0.0691469364177691,0.023676276868785484,21,9
2003-11-30,-0.004577498298189335,0.003490723233330275,0.0005869232563783927,13,9
2003-12-31,-0.007256612214411297,0.016113800307477052,-0.0047247515899309376,20,6
2004-01-31,-0.01429725712600596,-0.014368561283575854,-0.014333886739034815,12,14
2004-02-29,0.032023094580869736,-0.007335996657344983,0.004082557196969045,14,18
2004-03-31,-0.03563942662850693,0.006950122292323625,0.0013219884377255416,9,27
2004-04-30,0.0015725565033814681,-0.002369138130737406,-0.0006970252629814063,6,31
2004-05-31,-0.003209814690541472,-0.056700799901806785,-0.02037981032287587,7,27
2004-06-30,0.009550013880308583,-0.01748409128793564,0.0010006673032422143,12,19
2004-07-31,0.021056691841839642,-0.053422605501297585,-0.024293622085618267,9,24
2004-08-31,0.07358460282148829,-0.06335831007399872,-0.015893004682368376,7,25
2004-09-30,-0.04211891252649855,0.009018728039827185,0.0010613943872000199,9,24
2004-10-31,0.1286287668538032,0.003917692183854949,0.08911694490686074,24,15
2004-11-30,-0.014470049138364081,0.008736209218283083,-0.007416154730533924,37,8
2004-12-31,-0.0027517995465789254,-0.003856920062047344,-0.0031133319130357997,33,7
2005-01-31,0.03501189854539802,-0.01452386526654264,0.026954990590513494,25,9
2005-02-28,0.037218267809258056,-0.04556463160542657,-0.019942477073359485,15,16
2005-03-31,0.07840478420952952,-0.05111646575218297,-0.01717948530955988,9,27
2005-04-30,-0.04603613540300075,0.03069275297352306,0.0066783550347633246,11,25
2005-05-31,0.05343292841000959,-0.013440215163732349,0.002432414872135821,14,20
2005-06-30,-0.010986035419330714,-0.014355486470247855,-0.013047011471074375,15,15
2005-07-31,0.02254156213335629,-0.08093380806040189,0.00045585750379129004,32,6
2005-08-31,-0.008933432618409913,-0.001631397312127022,-0.004081240014966641,17,12
2005-09-30,0.04749776630419312,-0.043874688881227,0.02187195336288759,16,15
2005-10-31,-0.07407344103911274,-0.025249245952021066,-0.03933666583940679,7,32
2005-11-30,0.01659751011007078,-0.015184437307297665,0.0004786670128809006,14,16
2005-12-31,0.019148172048082928,0.01660082457579707,0.01850207682567962,15,17
2006-01-31,-0.03796296641356176,0.06323478230232663,-0.025013244390187817,29,8
2006-02-28,-0.017194904045165344,-0.05942667080559655,-0.03230277495341578,18,12
2006-03-31,-0.02410572123576593,0.052031787956586945,0.004242783302689778,22,11
2006-04-30,0.011045519703914354,-0.007421866040140843,0.003952626473907167,16,16
2006-05-31,0.0012408099707815286,-0.01559210498591019,-0.007565575483093395,10,29
2006-06-30,0.059624582702339564,-0.0423541846266735,-0.011496685821730631,6,30
2006-07-31,0.0722971248665204,-0.018870783401991505,0.005006167326371316,6,35
2006-08-31,-0.002260673876793958,-0.031672633215730994,-0.020543225246008982,15,21
2006-09-30,0.00664571969116352,-0.006435159471940663,0.0035443109885814825,22,16
2006-10-31,-0.023271229537078948,0.00567802824080468,-0.020272510450979355,31,7
2006-11-30,0.020945716348999163,-0.015134587148577617,0.013466826074731193,30,9
2006-12-31,0.03397565020484504,-0.039993509642189964,-0.009541191741463256,20,10
2007-01-31,0.02798838787558417,0.0018956653971437575,0.017183418265129053,17,10
2007-02-28,-0.018111423668791635,0.012791946589259173,-0.004925944962683741,16,21
2007-03-31,-0.03471062886000746,0.028636496255361077,-0.01088421173958799,20,18
2007-04-30,0.0089495440046712,-0.04368806644277324,-0.008314499766234704,20,14
2007-05-31,0.07664533875488812,-0.07098923589392167,0.043091567631845185,29,9
2007-06-30,0.03787659873692133,0.031229718275840233,0.03474049175241166,20,16
2007-07-31,-0.03117144547451833,0.07668426081184106,0.06459118076487322,8,36
2007-08-31,0.05643910530203561,0.03726660941920105,0.038376284510428724,6,40
2007-09-30,-0.025198483368069482,0.035881740268434915,0.015167498919054544,15,30
