,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.03714201560509645,-0.05224538466672468,-0.007551684530814114,150,119
2001-02-28,-0.013783350889849177,0.018328882677767,0.0022727658939589116,146,151
2001-03-31,0.011958213650266255,-0.01106396676820319,0.00044712344103153227,86,206
2001-04-30,-0.032494957394831166,0.015161292194688255,-0.008666832600071455,134,155
2001-05-31,-0.0755939855560718,0.10262772984433638,0.013516872144132289,163,128
2001-06-30,0.03750946091826125,-0.05590037982159002,-0.009195459451664383,195,95
2001-07-31,0.0931743919231478,-0.06701589240435833,0.013079249759394736,143,154
2001-08-31,0.04372930953784673,-0.05009591033377846,-0.0031833003979658617,101,205
2001-09-30,-0.004078752239658202,-0.009384263966134081,-0.006731508102896142,71,234
2001-10-31,0.004378931648604414,-0.01466469423837562,-0.005142881294885603,105,196
2001-11-30,0.057062677632748256,-0.06244361706638708,-0.0026904697168194137,161,147
2001-12-31,-0.014810710246317355,0.0015844481521276816,-0.006613131047094836,242,64
2002-01-31,-0.009036491889405687,0.0019103664779123192,-0.003563062705746684,222,89
2002-02-28,-0.04421867270414304,0.047473015155228976,0.0016271712255429664,161,143
2002-03-31,-0.08234592646508666,0.11169190010267456,0.014672986818793948,178,131
2002-04-30,0.012006746023054338,-0.02493919536708825,-0.0064662246720169556,157,157
2002-05-31,-0.07212068902463185,0.07296163002787574,0.00042047050162194455,155,158
2002-06-30,0.033038859522037375,-0.04503544705388597,-0.005998293765924298,73,241
2002-07-31,0.06866796070375901,-0.07623760471707657,-0.003784822006658778,27,287
2002-08-31,-0.028287474283262126,0.023261263251027516,-0.002513105516117305,66,249
2002-09-30,-0.025458942950866648,0.01990572122469094,-0.0027766108630878535,51,263
2002-10-31,-0.03536291869360394,0.014981555554798333,-0.010190681569402803,132,179
2002-11-30,0.02759896994172304,-0.022145610103141384,0.0027266799192908284,185,122
2002-12-31,0.07641763064579286,-0.09806486929650769,-0.010823619325357414,154,154
2003-01-31,0.09448127123182166,-0.10374542854543453,-0.0046320786568064334,160,151
2003-02-28,0.02386456697062902,-0.0216847879703907,0.0010898895001191598,97,215
2003-03-31,0.0268601687926228,-0.052780536685647736,-0.012960183946512467,174,141
2003-04-30,0.03143720055993655,-0.04291534345376984,-0.005739071446916648,254,52
2003-05-31,-0.015565575866195282,0.0108161991225644,-0.002374688371815441,223,31
2003-06-30,0.07061159806558877,-0.06281042486515549,0.003900586600216638,308,10
2003-07-31,0.018693593544037528,-0.014650690108942299,0.0020214517175476147,290,24
2003-08-31,0.04036273087805397,-0.04813925667270433,-0.0038882628973251794,222,95
