,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.017255702344140308,-0.029060192515798285,0.0027164308196432818,134,127
2001-02-28,-0.020149304982386027,0.03389146198801883,-0.00045996475959312,148,138
2001-03-31,-0.009722378418339728,-0.012290203978917037,-0.011278805092054653,88,200
2001-04-30,-0.046095740696389824,0.046873826634571666,-0.0022661968496869383,132,152
2001-05-31,-0.06318257736569446,0.07475057556111438,-0.011706493601062086,168,129
2001-06-30,0.011755489008462194,-0.015097686252212146,0.003104724791111442,191,102
2001-07-31,0.08411557674623803,-0.053004596247631486,0.012061207324114247,146,152
2001-08-31,0.013524020603864657,-0.02657956401979632,-0.011461234618758464,108,197
2001-09-30,-0.02414968496193808,0.005281993396618336,-0.0011996306107465472,71,233
2001-10-31,0.016264179282837556,-0.014647354116056268,-0.005274221514040456,97,200
2001-11-30,0.039858872385400645,-0.03174019409484639,0.002682453035087586,166,139
2001-12-31,-0.04893789150969525,0.05255874253377188,-0.021408227628356594,243,65
2002-01-31,-0.0095556836641668,-0.01153496281239507,-0.009897982917923633,223,88
2002-02-28,-0.05513769888201065,0.04422201775441778,-0.008609842780759254,162,145
2002-03-31,-0.05752161992512725,0.08380992324199218,0.00831891359518373,176,134
2002-04-30,-0.0017822813703196202,-0.02323349304672097,-0.013925631968367283,158,156
2002-05-31,-0.08232864773731387,0.07929874440277211,0.016819065422405514,149,164
2002-06-30,0.07692225888236766,-0.04989934097230439,-0.023083097973552912,74,241
2002-07-31,0.05339220251932836,-0.031611950153398335,-0.024087478673878285,30,284
2002-08-31,-0.019395475307248753,0.021787938479834856,0.014705687515494868,58,257
2002-09-30,-0.03187322404984974,0.02386210860982393,0.015672277138760713,53,260
2002-10-31,-0.017169074726106123,0.017742768689906135,0.004848589651257735,140,174
2002-11-30,0.016147312334959557,-0.03209184870073882,-0.0061997116406757955,187,128
2002-12-31,0.06887090007769377,-0.0897492599340258,-0.03156293437610948,134,176
2003-01-31,0.0654891918222953,-0.029036222175280433,0.007403784757928657,152,160
2003-02-28,0.014307222313045358,-0.02611632888047177,-0.013751238818136708,111,198
2003-03-31,0.0183063069653059,-0.023534483611248904,-0.007098343406642568,149,162
2003-04-30,0.002049792996127762,-0.03659044218230849,-0.003333897905763302,259,50
2003-05-31,-0.012026715627913786,0.013435439412199624,-0.010489423213252198,248,16
2003-06-30,0.05269616296172011,0.013646921023916672,0.05014860626919885,306,10
2003-07-31,0.004074305946730278,-0.00462310818661428,0.003231042305351559,289,27
2003-08-31,0.058860901795743284,-0.04215637630545817,0.021434448186580777,221,95
2003-09-30,0.019500017913742205,-0.019336049668889514,-0.002968953125435752,125,170
2003-10-31,0.02301765822611198,-0.034117294734473905,-0.0062528762867195805,152,159
2003-11-30,-0.005416860139195315,0.004248704486507967,-0.0005282151772634759,116,120
2003-12-31,-0.011336091857888458,0.012095416925601848,-0.0036753749891810274,168,92
2004-01-31,0.0032862943494081378,-0.012334589671363137,-0.005251564155748308,121,115
2004-02-29,0.0047458903745565325,-0.023648196000861516,-0.011674563316353664,121,181
2004-03-31,-0.039209033206035124,0.01518884852094271,0.001344974368679024,81,229
2004-04-30,0.011565074911288246,-0.018547547034530095,-0.012196145359967926,54,262
2004-05-31,0.014151985572043837,-0.006736886019394145,-0.0010842124044188506,71,242
2004-06-30,-0.0010238940077583968,-0.013912497066641471,-0.007697349045071071,106,186
2004-07-31,0.039413785855310766,-0.038082556193902196,-0.021160458408259093,56,225
2004-08-31,0.03654823312702059,-0.0365507124093597,-0.009835295791013051,77,206
