,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.03039443534709374,-0.03219208613323882,0.029401670058584108,21,12
2001-02-28,-0.0007955527068032233,-0.0455811755354404,-0.004365147948534223,26,26
2001-03-31,-0.014650795206799919,-0.05657912110920116,-0.017960183203938607,21,23
2001-04-30,-0.06551716575794976,0.03525995914738409,-0.0513179187859234,32,38
2001-05-31,-0.0814999798826395,0.12943465775111895,-0.039793132592869436,37,32
2001-06-30,0.006808538583625946,-0.02743338460927095,-0.0017900118463674,44,24
2001-07-31,0.067464929396387,-0.15513351489125263,-0.03018744535127998,32,37
2001-08-31,0.045738282192313275,-0.04026253624564292,-0.00914132093343772,21,50
2001-09-30,0.015792106647284823,-0.039329890896946516,-0.03609551303518609,15,53
2001-10-31,0.0403849422310156,0.00579135380168405,0.015834281898434124,24,47
2001-11-30,0.04080995562406982,-0.016220189898378017,0.006975240778136758,37,33
2001-12-31,-0.05818956845851457,0.0684516385517802,-0.030448826422276094,55,14
2002-01-31,-0.014848747696861125,-0.0111154345297117,-0.013637482062530272,49,21
2002-02-28,-0.07780616382572575,0.00566815425295303,-0.030793428881297776,37,34
2002-03-31,0.008984819451447091,0.08676936246396814,0.057593002616488115,40,31
2002-04-30,-0.031202187478705262,-0.03223743121440456,-0.03185318537862919,37,35
2002-05-31,-0.07654575000550759,0.09934245740341577,0.06946629673927186,34,39
2002-06-30,0.11003446066046473,-0.0923240414120576,-0.07593980792640216,13,60
2002-07-31,0.03171277442823048,-0.07025465536621617,-0.06750571460160176,6,65
2002-08-31,-0.013351397796429406,0.06592284637568123,0.06025046956923681,16,54
2002-09-30,-0.06337787893934065,0.02277256604029761,0.012550255993448937,14,56
2002-10-31,0.004456366860109728,0.022101024948037458,0.017031634256595953,31,37
2002-11-30,-0.0003796485347537552,-0.04136107697207305,-0.030865392901543085,40,30
2002-12-31,0.08939139187047662,-0.0818065214326988,-0.023719714085807076,42,27
2003-01-31,0.062362086805934344,-0.017951722039321875,0.008595588726069836,34,36
2003-02-28,0.02807900686170927,-0.015003707707269928,-0.006555005037719147,23,47
2003-03-31,0.03208270934932746,-0.024698800742614956,-0.0015976436928347721,37,35
2003-04-30,0.037341615301659525,-0.001267018200325242,0.02906702951761429,56,14
