,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.035957874700917505,-0.04941001748209658,-0.006069395296874044,132,128
2001-02-28,-0.017668450683791297,0.014056501484290274,-0.0018604848268434352,146,145
2001-03-31,0.008278677940961958,-0.011834244107276879,-0.005656213443995325,90,203
2001-04-30,-0.031515621694146255,0.010820295192037907,-0.009824074172956488,138,145
2001-05-31,-0.07824307239296811,0.10193004469883252,0.00038918145809264135,164,127
2001-06-30,0.03018006009730335,-0.048959375108879676,0.004080884656966394,189,93
2001-07-31,0.09277856270385726,-0.06756282397473898,0.011531752675441048,147,151
2001-08-31,0.042901548922037284,-0.05146579623377462,-0.019698571131818134,102,201
2001-09-30,-0.0018191377566294815,-0.01063207114847137,-0.008428837800510899,75,225
2001-10-31,0.008458385851765149,-0.014675254875651808,-0.00686088125200929,101,198
2001-11-30,0.05549070799586874,-0.06329742061777717,0.0013544788899776566,166,139
2001-12-31,-0.014992784301390819,0.005096468277955922,-0.010571848458686682,241,68
2002-01-31,-0.009521794806349723,0.0009408344069524958,-0.006359456716155483,217,94
2002-02-28,-0.04449165647645483,0.04960419041663071,-0.00044041605198484715,167,147
2002-03-31,-0.08270628261780694,0.10882864704182514,0.0013219445877090718,174,136
2002-04-30,0.013041419045824437,-0.022618347415899902,-0.0038200679712209378,165,148
2002-05-31,-0.07130107171270561,0.07368162267414614,0.002811487718272922,153,160
2002-06-30,0.03178236944723005,-0.044637298570955525,-0.029255704049723285,63,250
2002-07-31,0.05584608042080173,-0.07721082927669662,-0.06360756694340605,32,281
2002-08-31,-0.025711395095139575,0.024276676518113816,0.014310700215471523,63,253
2002-09-30,-0.025120101044776046,0.018843688663713328,0.011492829934319607,52,259
2002-10-31,-0.03139379521490394,0.019661966625852376,-0.0031744763700130665,140,173
2002-11-30,0.030455605017601212,-0.023893258680542925,0.008056233078110497,184,129
2002-12-31,0.08099199135158658,-0.08978743305723876,0.007722109266509898,177,133
2003-01-31,0.09900684169024447,-0.10024985286020573,-0.007737816104639562,143,165
2003-02-28,0.022874528518460332,-0.019992389111222846,-0.004741658800662485,111,201
2003-03-31,0.02994138442898453,-0.05002471324315362,-0.004184275087150858,180,134
2003-04-30,0.031292298456479385,-0.046304661941582524,0.007598570090658953,182,80
2003-05-31,-0.01021107621042795,0.022529614632547178,-0.009137610936887784,295,10
2003-06-30,0.07057946461571016,-0.06281042486515549,0.06639796337806547,309,10
2003-07-31,0.019418727786001514,-0.00754148741806417,0.016944530821071436,287,29
2003-08-31,0.03990243145767599,-0.048436279782890196,0.01083250411653121,210,103
2003-09-30,0.02029180902882925,-0.026764245824486395,-0.0014263701342395092,161,138
2003-10-31,0.02628318474824369,-0.03698697964089652,0.0028348171152077013,197,116
2003-11-30,0.0005103534046660778,-0.0061961817570215325,-0.002800822951313579,121,118
2003-12-31,-0.0066082382415879985,0.0048375520089289975,-0.002137226424979797,156,100
2004-01-31,0.015012380286484429,-0.02288661444778304,-0.005574727964228764,111,132
2004-02-29,0.028570370862555265,-0.03687998833304799,-0.013274940754305832,110,195
2004-03-31,-0.026511164441240184,0.027606099914059982,0.013628793226267224,78,224
2004-04-30,0.00414652639774429,-0.009919579832975724,-0.007407775148918578,55,253
2004-05-31,0.03369711642348759,-0.03135643599842425,-0.019066188309594,58,249
2004-06-30,0.01807301372675294,-0.02142492722336504,-0.008959265008611494,89,193
2004-07-31,0.06533288068462738,-0.062285799767002964,-0.037134672962667065,54,220
2004-08-31,0.04252558069512416,-0.04569087136818081,-0.023554158678137992,67,200
2004-09-30,-0.017981903181475713,0.011450877629476927,0.0010001076313850478,98,178
2004-10-31,0.030017420286445398,-0.036196306093516824,-0.0013829035638459654,153,138
2004-11-30,-0.005385818461946847,0.009641694805120431,-0.0016687657103754353,213,70
2004-12-31,-0.024751344137986485,0.021907249880755736,-0.013345910044516166,170,55
2005-01-31,0.03361556325415244,-0.032809082884818264,0.008668750450828605,138,83
2005-02-28,0.019940216660320333,-0.023665173420067118,-0.0018624783798733909,120,120
2005-03-31,0.05836661248239944,-0.054494211992812826,-0.013212903711611027,109,189
2005-04-30,-0.0017580364773967334,0.007385915434597538,0.003800051939697824,120,186
2005-05-31,0.010308666055435754,-0.018164275592732617,-0.003304659581062255,155,142
