,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.03708883659084259,-0.04419762028426423,-0.011337137717731687,19,28
2001-02-28,-0.016967866235676112,-0.01673598504504894,-0.016858249672834176,29,26
2001-03-31,0.01835949241319833,-0.018486445823717605,-0.0028073231697108244,20,27
2001-04-30,-0.018735434864926678,0.020958648771711993,0.003517308991976819,29,37
2001-05-31,-0.06184073497538001,0.13709416389234172,0.03317294806591992,35,32
2001-06-30,0.02021295450386015,-0.0964342005997287,-0.020359969010431623,45,24
2001-07-31,0.07213459388916368,-0.06789989790246735,-0.0018836374864127212,33,37
2001-08-31,0.03468604654004396,-0.05837856181896761,-0.03100661818396421,20,48
2001-09-30,-0.0023124652418610933,-0.02546208937408199,-0.02050145563146323,15,55
2001-10-31,-0.028456952121254528,-0.0032744404106526607,-0.011908444425716157,24,46
2001-11-30,0.0541473612548317,-0.0656872654117173,-0.0015504229704657161,38,33
2001-12-31,-0.030396278030850078,-0.019770178583616564,-0.028271058141403377,56,14
2002-01-31,-0.034952928179462536,-0.004729025665839281,-0.02571784685585543,50,22
2002-02-28,-0.05323846676016336,0.06399097848769478,0.0011288121953650517,37,32
2002-03-31,-0.0762092914755232,0.09330342545460872,-0.0021966967595501053,40,31
2002-04-30,0.008447940036470893,-0.02972877272805346,-0.010110184224061777,37,35
2002-05-31,-0.08570224863035841,0.07604347593765066,-0.002518733138239458,34,36
2002-06-30,0.031867650090294686,-0.08985785208754314,-0.06618900444185244,14,58
2002-07-31,0.13357013766771592,-0.11207157700761089,-0.08818974363639856,7,65
2002-08-31,-0.035341652700195555,0.06700181901543757,0.043269999487174825,16,53
2002-09-30,-0.008256277596618107,0.0014838195672635533,-0.0003250556203144691,13,57
2002-10-31,-0.018956108305247226,0.01829135167799436,0.0015037640799136444,32,39
2002-11-30,0.022476116428677768,0.006070398054144394,0.01577518920527681,42,29
2002-12-31,0.07539413981378398,-0.08385312364613025,0.012592402111282597,43,28
2003-01-31,0.10062378703096163,-0.0927941131295165,-0.004618305703416174,31,37
2003-02-28,0.011542011203210604,-0.018751237472760095,-0.008084600615023934,25,46
2003-03-31,0.056624427960929896,-0.026731183728061842,0.017966752974730826,37,32
2003-04-30,0.04660138984984082,-0.059937962220359554,0.02588540472507964,58,14
2003-05-31,-0.023186441311462355,0.01305811190079246,-0.02167625159428507,69,3
2003-06-30,0.07255305739289394,-0.07190142101128294,0.06854043299277793,70,2
2003-07-31,0.019039982766634087,-0.05973475578713248,0.012190005501089167,63,6
2003-08-31,0.057524774159321126,-0.024720084911019853,0.035678483468761804,47,17
2003-09-30,0.039118775601985525,-0.012367989642736906,0.013797415645564658,31,30
2003-10-31,0.032924122059032015,-0.023110413152379234,0.016113761495608638,42,18
2003-11-30,-0.0046212123467151475,-0.005346969169490257,-0.005000838992474436,31,34
2003-12-31,-0.013829922862592825,0.005178763533531096,-0.006942717646605897,44,25
2004-01-31,0.014995392554646388,-0.018166007295971006,-0.002374864509962722,30,33
2004-02-29,0.01436697829689203,-0.03289744396159108,-0.009265232832349526,30,30
2004-03-31,-0.00975746371370693,0.037507886674656675,0.025177795268996602,18,51
2004-04-30,0.015122428990415852,-0.00725639905394117,-0.0021412383580881366,16,54
2004-05-31,0.017437835655340968,-0.047206289364897035,-0.035849889023503875,13,61
2004-06-30,0.008577981218080627,-0.023101758218423748,-0.01391922504842248,20,49
2004-07-31,0.05389949548496772,-0.06963623995613245,-0.04763672542552557,13,60
2004-08-31,0.03942098531681833,-0.04210647807539158,-0.028956887205680303,10,52
2004-09-30,-0.024982179533881897,0.0324994362184856,0.00983063000628433,28,43
2004-10-31,0.029149288030454232,-0.023607281958820562,0.009365574284476184,45,27
2004-11-30,-0.004750319026365145,0.018518320544165426,0.0002807381780738976,58,16
2004-12-31,-0.022846655144620396,0.025701538622631137,-0.013426856353959652,54,13
2005-01-31,0.031591779392363455,-0.03403533604600451,0.01033229129261045,48,23
2005-02-28,0.01571961550404543,-0.005918963290062163,0.006881322757156412,42,29
2005-03-31,0.044651340602386645,-0.056811359932337685,-0.02299045975409624,24,48
2005-04-30,-0.013471981679423291,0.0026012054087421288,-0.004190282093299598,30,41
2005-05-31,-0.004846604710484877,-0.019178514899806542,-0.012333423466100673,32,35
2005-06-30,-0.027762494639000324,0.020421132883855456,-0.0051307908025074594,35,31
2005-07-31,0.0513597012989505,-0.021865730127065282,0.03898357204384924,59,12
2005-08-31,0.005776867565678714,0.004580503445577728,0.005359952796552613,43,23
2005-09-30,0.03428665145954913,-0.08320786529541596,-0.016569184150808894,38,29
2005-10-31,0.0034046966960943298,-0.01778949992982787,-0.009614595516972165,27,43
2005-11-30,0.03129945108701052,-0.012307257703116036,0.012781533655586918,42,31
2005-12-31,0.00485366169424757,-0.021539366778287484,-0.01033136838584109,31,42
2006-01-31,-0.010340343710134533,0.04254646665795786,0.008023132112119769,47,25
2006-02-28,0.003446464782595287,-0.006018628167205442,-0.0016597037824287906,35,41
2006-03-31,0.0032763194396231115,0.05285865472680533,0.02393562580928237,42,30
2006-04-30,0.03543279575486996,-0.0649927829764632,-0.021953249234463273,33,44
2006-05-31,0.018699132321313698,-0.022268273843540416,-0.011262105023131847,18,49
2006-06-30,0.03958737355538967,-0.05865675550988811,-0.036661801241542336,15,52
2006-07-31,0.027443826208495083,-0.04831985270710857,-0.03417729930952922,14,61
2006-08-31,0.013041440912087742,0.006007797331894471,0.008633690935166624,28,47
2006-09-30,0.03597876461680747,-0.03826550100117795,-0.0030971646558164336,36,40
2006-10-31,-0.0022766933382611446,0.007120605318475421,0.001106334178164019,48,27
2006-11-30,0.021661924708142183,0.0014654739767141663,0.01353088610198285,46,31
2006-12-31,0.0500774448313344,-0.057257096203423744,-0.004965909545464646,38,40
2007-01-31,0.028259681690079433,-0.026753901001825453,-0.0006948355161862972,36,40
2007-02-28,-0.015449684133803132,0.016122623448277737,0.004445194616549196,27,46
2007-03-31,-0.021337062856321126,0.05029091029228226,0.022741689850511726,30,48
2007-04-30,0.013237794643090169,-0.016389909162076912,-0.004045032576590628,30,42
2007-05-31,0.015756445688179684,-0.04435811076417621,-0.003740167215287093,50,24
2007-06-30,0.04522380034545487,-0.026647124525074204,0.007811538084083571,35,38
2007-07-31,-0.020540702134123,0.0292164770595717,0.01694758355975657,18,55
2007-08-31,-0.002666217292611569,0.02483340290335023,0.01824898680009177,17,54
2007-09-30,-0.05057360887852022,0.053312905352897365,0.0168122381905074,26,48
2007-10-31,-0.03535272792577394,0.02849083995188113,-0.008964053203009843,44,31
2007-11-30,-0.02899491383299971,0.004395479862284926,-0.007702488867890668,25,44
2007-12-31,0.06537528099963895,-0.06505896411595477,-0.019322280763733594,27,50
2008-01-31,0.04112500416826443,-0.00014108883874414113,0.007265645803539449,14,64
2008-02-29,-0.0561798959736724,0.11524391532318054,0.07453076014017797,19,61
2008-03-31,0.019154440016831392,-0.03042173754830795,-0.019476347696264197,17,60
2008-04-30,0.01726216961095441,-0.023114749334587608,-0.0018637393632497039,40,36
2008-05-31,-0.10333120167527166,0.0738669591887323,-0.04737388771821777,52,24
2008-06-30,-0.11956278792449362,0.17041295832618203,0.0389572866925424,34,41
2008-07-31,-0.07875552140599192,0.09425482197853122,0.025494300889810483,31,47
2008-08-31,0.007053739263471868,-0.03403851643821971,-0.016353241832428395,34,45
2008-09-30,-0.041101595385326345,0.0929701697761054,0.03968523746835688,31,47
2008-10-31,-0.09423373328785203,0.12494922970654433,0.10577072044453466,7,73
2008-11-30,0.2065469038688732,-0.10670696502711047,-0.09104427158231129,4,76
2008-12-31,0.24451404275676675,-0.20605114778515554,-0.1337382159697853,13,68
2009-01-31,0.06372439550921828,-0.05169914791838387,-0.013224633442516488,25,50
2009-02-28,-0.00322755795834807,-0.009657580548672082,-0.00802972672833689,20,59
2009-03-31,0.07133128666889198,-0.1097400905121858,-0.04302958312968347,28,48
2009-04-30,0.04279163399392584,-0.15230302387469632,-0.016477629156035328,55,24
2009-05-31,0.05579734056424468,-0.026409873350006753,0.04463339793391424,70,11
2009-06-30,-0.021785628094471453,0.02700724153707152,-0.013246875908951433,66,14
2009-07-31,0.05916436031800718,-0.07303520008871951,0.04176968131712209,66,10
2009-08-31,0.045411692338098955,-0.04657111337182341,0.03069444342451138,63,12
2009-09-30,-0.029145050061177395,0.043195102208972116,-0.018093082353237883,61,11
2009-10-31,0.04558989600460679,-0.03240476234699228,-0.004275541302153268,22,39
2009-11-30,0.05687192404278945,-0.059669794116337944,-0.014066513097548963,27,42
2009-12-31,0.036664247280430516,-0.050624085626893425,-0.021527974657785443,23,46
2010-01-31,-0.06977135281081201,0.044562242608358726,0.002274474439624345,27,46
2010-02-28,-0.04101249925456651,0.05201046673733703,0.029351026303411805,19,59
2010-03-31,0.09210186057402521,-0.04955184828982194,-0.006517810153969642,24,55
2010-04-30,-0.04744806230490627,0.045766035875587335,-0.0037179915535635916,43,38
2010-05-31,0.08457855743014293,-0.11682457947636903,-0.0770412437911321,16,65
2010-06-30,-0.011272992409974628,-0.04437682008688299,-0.04311971270674723,3,76
2010-07-31,-0.008060415288411005,-0.02941861941535914,-0.027816754105838032,6,74
2010-08-31,0.06241185209255088,-0.07185481379094094,-0.056749813879048115,9,71
2010-09-30,0.02413459674363174,-0.011932878781471682,0.009145516005926422,45,32
2010-10-31,0.04046758363959283,-0.026967067767156988,0.008216228618973354,36,33
2010-11-30,0.021567021635813848,-0.020214075461447982,0.007104334179069367,51,27
2010-12-31,0.031794122628888435,-0.04345746861749081,-0.0038513679615017325,40,36
2011-01-31,-0.0033790490277371622,0.0191969099058026,0.009356107293746807,34,44
2011-02-28,-0.01021476484109247,-0.0003586232764926821,-0.005539415637372058,41,37
2011-03-31,-0.04204313348205054,0.03272953716402687,0.010013789119648923,24,55
2011-04-30,-0.0460407393686008,0.06052817755094488,0.013164214475591247,32,40
2011-05-31,-0.07040264297419858,0.08840155761308317,0.04590465886437398,19,52
2011-06-30,0.1471057912388092,-0.1399852390900466,-0.07279372135350588,11,36
2011-07-31,-0.04383575093358627,-0.0035544141329371818,-0.007870271647292442,6,50
2011-08-31,0.03261940846108299,0.020855944526159218,0.021486130094101562,3,53
2011-09-30,0.07112332509676622,-0.10362225911124938,-0.09883470885897497,2,71
2011-10-31,0.04745744284793305,-0.04900702742755747,-0.02355112554930303,19,53
2011-11-30,0.03308853468107805,-0.029861771015305176,0.001234163123872081,41,42
2011-12-31,-0.010990827634433702,0.019305306656783653,-0.0028625964831314843,60,22
2012-01-31,-0.0938278475656958,0.033201707879286606,-0.03454738835803735,40,35
2012-02-29,0.04192136897112986,-0.014906763329362388,0.02227707632404612,53,28
2012-03-31,0.002656806982936027,0.005728785256752417,0.003339468821561892,63,18
2012-04-30,0.03774979463718687,-0.05166733816633955,0.0031006556758203796,49,31
2012-05-31,0.051156017630014074,-0.01199691264370526,0.0033864934486109877,19,59
2012-06-30,0.012388896912334217,0.000178211732679312,0.0043555513994033585,26,50
2012-07-31,0.020982233944361214,-0.012396209895058147,0.0038650832574794905,38,40
2012-08-31,0.02514869161367238,-0.008206117813300086,0.014458047566565822,53,25
2012-09-30,0.06630254273734497,-0.06998047342193164,0.009665445112710534,45,32
2012-10-31,0.014782867487087787,-0.027866833023625272,-0.003715797794667275,47,36
2012-11-30,0.058792278267891816,-0.03889718100955663,0.014168698104119068,44,37
2012-12-31,0.02556661595942487,-0.02547078832324206,-0.0012280212889752673,38,42
2013-01-31,0.008498111391299926,-0.03831307298805756,-0.0011041828403631486,62,16
2013-02-28,-0.012791031021393721,-0.0019850911076784938,-0.010020277197364175,58,20
2013-03-31,0.05291827995372886,-0.06857842348055808,0.03217494034299694,68,14
2013-04-30,-0.03720525369071987,0.024121346646745628,-0.01236409912364524,47,32
2013-05-31,0.05517716356797376,-0.03584948188247792,0.020082553273823713,51,32
2013-06-30,0.03217678755211743,-0.051791389540675116,-0.014845391619846394,33,42
2013-07-31,0.0335409951488084,-0.04460137781775605,0.000981673079406545,49,35
2013-08-31,0.04415600200241526,-0.031007649338298537,-0.0059530988913939365,27,54
