,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.013322808181261036,-0.031374437139411085,-0.006542634183482128,30,24
2001-02-28,-0.01497592203540148,-0.006553112979167045,-0.010835897245048961,30,29
2001-03-31,0.006278665700157011,-0.015098146820128135,-0.008576407407159786,18,41
2001-04-30,-0.027247129533329226,0.03262777330634273,0.0026903218865067502,28,28
2001-05-31,-0.061790326106659285,0.09843471263204932,0.010764408416529519,29,24
2001-06-30,0.007960394516307647,-0.06170225748456358,-0.01486012941501224,39,19
2001-07-31,0.0880862850554185,-0.05824227401554438,0.01248319620208768,29,31
2001-08-31,0.018868249744829015,-0.07046467242484372,-0.0411751897462625,20,41
2001-09-30,-0.03982004361088319,-0.022030716995968102,-0.026478048649696873,15,45
2001-10-31,-0.029610084543106024,-0.015227856909929836,-0.019943341379823665,20,41
2001-11-30,0.06512924854691331,-0.05075210713038839,0.010926678955917354,33,29
2001-12-31,-0.04451634124207629,0.011104853298163096,-0.03266264404497609,48,13
2002-01-31,-0.03915959989134847,-0.009057071275470443,-0.029934631444547142,43,19
2002-02-28,-0.03975637481390061,0.05365953803540838,0.0062101854770292095,32,31
2002-03-31,-0.07947812241948644,0.09815484387854158,-0.0021218306445387612,35,27
2002-04-30,0.012892040862672862,-0.010970263752652407,0.001150271924973127,32,31
2002-05-31,-0.07203114845467885,0.06656078482795012,-0.0016352458349308038,31,32
2002-06-30,0.06862325290792806,-0.049319409798609215,-0.028726246468896353,11,52
2002-07-31,0.030399817563633007,-0.06137711761553643,-0.052773029942489294,6,58
2002-08-31,-0.004229558092271657,0.05197966587084259,0.04127314702072559,12,51
2002-09-30,-0.0057266146469788885,0.004198776946244654,0.0024657720648881627,11,52
2002-10-31,-0.02985196156778018,0.024090523852974666,0.00011608588819473415,28,35
2002-11-30,0.01056407724081343,0.005105843417768754,0.008311472805906103,37,26
2002-12-31,0.08872110218485345,-0.0994171762841782,0.009824404762356303,36,26
2003-01-31,0.06977575355542945,-0.0812161399996274,-0.008079441558896741,31,33
2003-02-28,0.021441304809908784,-0.01706574840228512,-0.004644118333835473,20,42
2003-03-31,0.03907635896191308,-0.047911471656415246,-0.012835733503863501,25,37
2003-04-30,0.03889695086530167,-0.056189232462456946,0.017551072975396678,38,11
2003-05-31,-0.020047596026821293,0.053870138143726265,-0.01758367155446971,58,2
2003-06-30,0.06451927835669274,-0.0679182722742101,0.06031491166999742,61,2
2003-07-31,0.0075405254827121205,-0.04174554206471613,0.0021498618447121556,57,7
2003-08-31,0.04429214403019404,-0.03514786902365392,0.022293371184513067,47,18
2003-09-30,0.02685993656541358,-0.027809099115001346,-0.005030334248161794,25,35
2003-10-31,0.033625687425896805,-0.041115838757276875,0.007525471933359966,41,22
2003-11-30,-0.0016282503156474716,0.006255697949364634,0.0023137238168585814,26,26
2003-12-31,-0.0028554272384778644,0.018919517840742424,0.0030070579751583673,38,14
2004-01-31,0.017063873241346075,-0.017695407399541136,-0.003791695143186252,18,27
2004-02-29,0.013619468120482562,-0.039464576117397926,-0.013807288069089022,29,31
2004-03-31,-0.04550120909526532,0.025376873450319314,0.007376090581599408,16,47
2004-04-30,0.03987009082860136,-0.015428734181307089,-0.0052906162628238735,11,49
2004-05-31,0.037360086993486474,-0.03592015298598456,-0.018472476800396223,15,48
2004-06-30,0.03814815831635708,-0.008958137687881756,0.007314946386309843,19,36
2004-07-31,0.05362374910874355,-0.07703028128559813,-0.044366773687012716,11,33
2004-08-31,0.02770755094773091,-0.045213335272416465,-0.02978776318738529,11,41
2004-09-30,-0.021527790282555553,0.01977295443549398,0.005531318325821728,20,38
2004-10-31,0.023255778798301287,-0.024949351993177427,0.0013443557112655091,30,25
2004-11-30,-0.004022450949836067,0.017017488016018212,0.0008063875013436037,47,14
2004-12-31,-0.024863010814473584,0.0276642211243899,-0.012825520161817367,37,11
2005-01-31,0.030986839744888924,-0.03695942679908553,0.008749879785042738,37,18
2005-02-28,0.02995722540675487,-0.0023385271051824088,0.015005488132709834,29,25
2005-03-31,0.05090389006821966,-0.04060863383237069,-0.006103911705918592,23,38
2005-04-30,-0.015359786387362413,0.00418581056328207,-0.0036954785297197376,25,37
2005-05-31,0.004746553777725696,-0.017240337719129997,-0.007005060643007518,27,31
2005-06-30,-0.015878689074352925,0.028762157794099318,0.0033630552654971796,33,25
2005-07-31,0.03154453721819091,-0.053427846019672744,0.016370897354286682,46,10
2005-08-31,0.0013053943334836113,0.005286716954602513,0.0028979233819311718,33,22
2005-09-30,0.05462926648174681,-0.07840762991800919,0.0005830273193459384,38,26
2005-10-31,0.010809304048436334,-0.019276926580647287,-0.007242434329013838,26,39
2005-11-30,0.0405077071410162,0.0035579920444884913,0.02560862847306148,37,25
2005-12-31,0.001111624920655252,-0.016805742852780095,-0.007287141223142567,34,30
2006-01-31,-0.02888997191563414,0.01149216060676747,-0.018794438785033736,48,16
2006-02-28,0.012540723909534172,-0.01059930556092802,0.003203519035488025,34,23
2006-03-31,-0.009765820444746677,0.022713376162163162,0.0018338926291496943,36,20
2006-04-30,0.010990491800287779,-0.04363455601745918,-0.011952028283165944,29,21
2006-05-31,0.022359015039485963,-0.015364951021759882,-0.004483037734862042,15,37
2006-06-30,0.051928060058753125,-0.08958792850721048,-0.054208931365719575,13,39
2006-07-31,0.007029668629536005,-0.04291743823510015,-0.03292801686217292,12,48
2006-08-31,0.005494997520704833,-0.006485034610219547,-0.002234055466988316,22,40
2006-09-30,0.04224231855933113,-0.03621028130976244,0.00056437487887517,30,34
2006-10-31,0.011561483286331558,0.014840617953598716,0.012709180419875064,39,21
2006-11-30,0.02069443824513207,-0.008340982691257182,0.0098061553939861,40,24
2006-12-31,0.03981369810956173,-0.06184214728946644,-0.00859384731854692,33,30
2007-01-31,0.03419806338648038,-0.030720079940663392,-0.0013040462455513671,29,35
2007-02-28,-0.011568749686052012,0.008216049016505163,0.0016211161156527714,21,42
2007-03-31,-0.03921702061820584,0.0377313035053182,0.006252443636603818,27,39
2007-04-30,0.02259571413579729,-0.020793573895424758,-0.0021981647391867364,27,36
2007-05-31,0.029975861483122316,-0.037934259343747896,0.0062612161150089095,41,22
2007-06-30,0.04328427311312491,-0.02473458211188977,0.011400434726399278,34,30
2007-07-31,-0.047525958165145106,0.03923422593080277,0.013068456124088334,19,44
2007-08-31,0.004450661054414162,0.007773775725254335,0.007130592240575591,12,50
2007-09-30,-0.039980439630497175,0.030314501828945746,0.005440907158681328,23,42
2007-10-31,-0.033208203966669236,0.030875552515191442,-0.004843262573058773,34,27
2007-11-30,-0.004139554606329821,-0.00011939004687808612,-0.0017404241434312048,25,37
2007-12-31,0.08200287397653136,-0.0508936276367137,-0.00860837712340845,21,45
2008-01-31,0.029094840712231312,-9.705969541680547e-05,0.005131340377594798,12,55
2008-02-29,-0.05124249855255349,0.14058895799576776,0.0954521446902804,16,52
2008-03-31,0.0065152674401841955,-0.042451412469812114,-0.03148872293772339,15,52
2008-04-30,0.028269456554465264,-0.03738666011225064,-0.004037521487887008,32,31
2008-05-31,-0.10600391252074971,0.07486666294933599,-0.04665575494462784,43,21
2008-06-30,-0.1203473991855431,0.1839152096759897,0.04924159591760634,27,34
2008-07-31,-0.07639030812742555,0.09017308038432419,0.03010103862598822,22,39
2008-08-31,0.01756388878366838,-0.04887208267600879,-0.02145406270852297,26,37
2008-09-30,-0.02330598917836849,0.0848545666801809,0.04193371118075655,25,38
2008-10-31,-0.07231312098919199,0.08195504660398732,0.07044249678360082,5,62
2008-11-30,0.1239006406455101,-0.0845290372329957,-0.07208547437457744,4,63
2008-12-31,0.2910926592938972,-0.12561479683822985,-0.06608516024792599,9,54
2009-01-31,0.06122174472076534,-0.01054926015968612,0.015243444719226121,23,41
2009-02-28,-0.006322430525443838,-0.0014120820436256695,-0.002660475725443848,15,44
2009-03-31,0.0578834458691707,-0.06893573854343191,-0.028353599531399074,16,34
2009-04-30,0.041850470194287046,-0.04898217196124272,0.011572922809110459,40,20
2009-05-31,0.04047487963519674,-0.0308488002783954,0.03169658056890848,57,8
2009-06-30,-0.021658682073587086,0.04229568190410192,-0.012522344362488658,54,9
2009-07-31,0.06211510317476363,-0.07018014423237734,0.0442373670386635,64,10
2009-08-31,0.04864868241075965,-0.042509296043193784,0.03709344570532893,62,9
2009-09-30,-0.04001995845227746,0.04635369113709843,-0.02673170466929655,55,10
2009-10-31,0.04550037969669793,-0.04388732690272955,-0.008440477733991068,23,35
2009-11-30,0.06672680461497468,-0.07246990047338792,-0.02607099877726705,24,48
2009-12-31,0.025368384842085544,-0.03827688369397742,-0.01736486688927102,23,47
2010-01-31,-0.07285558809712181,0.04090368761384847,-0.00017605083733523985,26,46
2010-02-28,-0.044570371907158096,0.06263209108091661,0.03442091661037063,20,56
2010-03-31,0.09479346249775684,-0.07211093707568288,-0.020088786559286077,24,53
2010-04-30,-0.05316774329955958,0.027182913699948897,-0.0139967980122992,41,39
2010-05-31,0.1016624687977808,-0.11769383779626799,-0.07382257647745824,16,64
