,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.0008308332917297556,-0.006961249631434971,-0.004009677733472848,16,15
2001-02-28,-0.030407262785177556,0.026571230582963425,-0.016214628764959414,16,20
2001-03-31,-0.022825879401044878,-0.06346453402225219,-0.05334685809662312,9,25
2001-04-30,0.04359250747199126,-0.057894637755870296,-0.04304058513017077,12,19
2001-05-31,-0.07568509860835627,0.04054945472309758,-0.030292096307929776,15,12
2001-06-30,0.05547897670760341,0.03707884262121912,0.04788665336353623,20,10
2001-07-31,-0.03881843608468968,0.10273802652929312,0.012760747346461238,14,16
2001-08-31,-0.06057149321409839,0.0568878962935303,0.021498231823986826,7,21
2001-09-30,-0.0228753787455931,-0.007074123849025766,-0.007767818685052432,5,28
2001-10-31,0.11432959241162156,-0.06801521833743539,-0.04518316033389812,10,24
2001-11-30,0.038321617816816006,-0.002644970775592149,0.014528034892350846,18,17
2001-12-31,-0.02423402336602386,0.015009285345999292,-0.020111980574538006,30,6
2002-01-31,-0.020624229331399572,-0.009554431979379118,-0.015004489831006124,23,10
2002-02-28,-0.0082450866428096,0.0082141753463414,-0.001435445636160188,15,15
2002-03-31,0.002606182176540185,0.015423193870904676,0.012255617652795111,16,15
2002-04-30,0.015334459472954054,-0.0024794527967190883,0.002344506777927645,15,18
2002-05-31,-0.08351454660719346,0.07040801207281594,0.014528888402063614,14,19
2002-06-30,-0.05609576426770816,0.06781064373065357,0.04544240969957281,6,30
2002-07-31,0.024702443024330504,-0.00779758613869255,-0.0015911550136928946,7,28
2002-08-31,-0.04841340067563608,0.12844689923969888,0.09570867168335698,9,28
2002-09-30,0.013547598372197876,-0.07165817030516278,-0.04895568093831914,8,27
2002-10-31,0.04250091100713989,-0.038198231108261815,0.02249155854329328,23,12
2002-11-30,-0.010858103750263097,0.0662163016820031,0.01023251698252407,24,13
2002-12-31,-0.011303477670310157,0.0036213903962409384,-0.002180280888011584,23,13
2003-01-31,-0.03479244667854383,0.019958003704074197,-0.019504598343838733,17,17
2003-02-28,-0.0060966127623143865,-0.020014391506472558,-0.015545112672830137,7,24
2003-03-31,0.11108756172554683,-0.016023228933721916,0.0980312983878018,17,13
2003-04-30,0.06866559924263196,-0.008722025250641878,0.059598339686022246,25,7
2003-05-31,-0.016011808022753714,-0.001383178553531074,-0.01553157488225117,35,3
2003-06-30,0.032867777036489666,-0.1511080051115985,-0.01914881632821158,36,5
2003-07-31,-0.028323023995442127,-0.009477080358382954,-0.02039810807031877,26,11
2003-08-31,-0.02111728983403746,0.013403719321903748,-0.002643598755948467,20,17
2003-09-30,0.018408459698536307,-0.08033979617161928,-0.0338301684975447,15,17
2003-10-31,0.01881197163951649,-0.015269065359073778,0.014272908790138199,16,12
2003-11-30,0.04948678280797361,-0.07503407236971818,-0.06055014309497219,10,11
2003-12-31,-0.02135728859677069,-0.029126272902119447,-0.02554291129152505,18,9
2004-01-31,0.03884081834177312,-0.06135773721504521,-0.028719277099408105,12,13
2004-02-29,-0.04975936695239294,-0.0038682493491649346,-0.030316610622674642,14,15
