,Long_Only,Short_Only,Long_Short,Num Long,Num Short,1,1
1/31/01,-0.07068814,0.000130886,-0.037967957,85,73,0.92931186,
2/28/01,-0.049918271,0.050950403,0.005755997,69,85,0.882922219,
3/31/01,0.093153828,-0.088150725,-0.00338496,72,82,0.965169804,
4/30/01,0.031457773,-0.039857789,-0.008967091,81,106,0.995531897,
5/31/01,-0.014634765,-0.00762084,-0.011703019,110,79,0.980962521,
6/30/01,0.012888595,-0.001074534,0.008208217,119,60,0.99360575,
7/31/01,-0.013290737,0.037871863,0.015945034,69,92,0.980399997,
8/31/01,-0.128875464,0.106571658,0.058610207,33,129,0.854050493,
9/30/01,0.062959422,-0.069327245,-0.049582966,30,171,0.907821018,
10/31/01,0.055641882,-0.093454429,-0.048652089,61,142,0.958333888,
11/30/01,0.034280426,-0.044192373,-0.001071182,111,91,0.991185981,
12/31/01,0.01450085,0.022384254,0.015430497,187,25,1.005559021,
1/31/02,0.002832404,-0.007324331,0.000123941,132,48,1.00840717,
2/28/02,0.071099953,-0.049037676,0.011031139,92,92,1.080104872,
3/31/02,-0.017429258,0.026115702,0.00246165,88,74,1.061279445,
4/30/02,-0.008286904,0.011560884,0.002267989,81,92,1.052484725,
5/31/02,-0.062919641,0.052844055,0.001664316,84,106,0.986262763,
6/30/02,-0.134840532,0.091880903,0.053314886,33,161,0.853274568,
7/31/02,-0.010437512,-0.030383095,-0.026559331,37,156,0.844368505,
8/31/02,-0.09034125,0.078546222,0.03778028,49,154,0.768087198,
9/30/02,0.066314608,-0.067695954,-0.038832141,42,153,0.8190226,
10/31/02,0.119121134,-0.072803345,0.046902129,121,73,0.9165855,
11/30/02,-0.043210102,0.038999234,-0.012675206,132,78,0.876979748,
12/31/02,-0.032528178,0.032053424,-0.00946332,126,70,0.848453194,
1/31/03,-0.007442218,0.014430155,0.004351708,94,110,0.842138821,
2/28/03,0.011166019,-0.026468094,-0.016802502,47,136,0.851542159,
3/31/03,0.076428519,-0.084062103,0.003478236,90,75,0.916624265,
4/30/03,0.097820131,-0.181081231,0.049787119,149,31,1.006288571,
5/31/03,0.013592229,0.004059648,0.013260249,194,7,1.019966275,
6/30/03,0.040780467,-0.007907527,0.036165491,191,20,1.061560976,
7/31/03,0.041036417,-0.030422892,0.021286356,144,55,1.105123634,
8/31/03,-0.020112366,0.013138461,-0.003961964,90,85,1.082896983,
9/30/03,0.06958704,-0.081138797,-0.010057863,83,93,1.158252579,
10/31/03,0.03029311,-0.007614682,0.015346609,106,69,1.193339651,
11/30/03,0.032025444,-0.046263595,-0.009850088,80,92,1.231556883,
12/31/03,0.019413829,-0.036716491,-0.00182467,115,70,1.255466119,
1/31/04,0.02700116,-0.026216514,0.000853748,88,85,1.289365161,
2/29/04,0.000993434,-0.009001864,-0.004710097,76,101,1.290646061,
3/31/04,-0.034997477,-0.001896658,-0.011826904,57,133,1.245476704,
4/30/04,0.021649789,-0.024257752,-0.014006554,46,160,1.272441012,
5/31/04,0.034858069,-0.030772184,-0.017240173,40,154,1.316795848,
6/30/04,-0.036843264,0.037448899,0.009691387,68,114,1.268280791,
7/31/04,0.002596553,-0.00408545,-0.002050127,53,121,1.271573949,
8/31/04,0.014340187,-0.040487907,-0.028269075,39,136,1.289808557,
9/30/04,0.017444325,-0.022819718,-0.009680925,62,128,1.312308397,
10/31/04,0.056824102,-0.061714427,0.0067374,123,90,1.386879143,
11/30/04,0.037697879,-0.054230624,0.018529808,186,49,1.439161545,
12/31/04,-0.024680435,0.011661795,-0.017011891,172,46,1.403642412,
1/31/05,0.0308891,-0.034926679,0.009298739,127,62,1.446999662,
2/28/05,-0.021120811,0.00682837,-0.006933409,97,100,1.416437857,
3/31/05,-0.018316308,0.024402059,0.013430675,47,136,1.390493944,
4/30/05,0.025268663,-0.060347579,-0.037767471,48,134,1.425629868,
5/31/05,0.018810865,-0.028093959,-0.007924885,86,114,1.452447199,
6/30/05,0.054563403,-0.062698595,-0.000464574,95,84,1.53169766,
7/31/05,-0.005113586,-0.001673657,-0.004513221,175,37,1.523865192,
8/31/05,0.014680637,-0.01983293,-0.001138081,91,77,1.546236505,
9/30/05,-0.007976414,0.000885358,-0.00384092,88,77,1.533903082,
10/31/05,0.044034505,-0.060336966,-0.032361107,52,142,1.601447745,
11/30/05,0.003821089,-0.006456581,-0.000794631,92,75,1.607567019,
12/31/05,0.04828569,-0.049296083,0.004673724,99,80,1.685189501,
1/31/06,0.006148582,-0.03056558,-0.002942544,158,52,1.695551027,
2/28/06,0.028453351,-0.030967174,0.007799157,122,65,1.743795135,
3/31/06,0.009783174,-0.002864229,0.005802773,135,62,1.760854987,
4/30/06,-0.025816562,0.038658701,0.007059438,99,103,1.715395764,
5/31/06,-1.85E-05,-0.008559694,-0.005914949,61,136,1.715364081,
6/30/06,-0.002685529,0.018826839,0.013999674,46,159,1.710757422,
7/31/06,0.025529361,-0.028875699,-0.018817621,44,194,1.754431965,
8/31/06,0.019553396,-0.03495737,-0.009208566,94,105,1.788737068,
9/30/06,0.055276201,-0.035619923,0.012738606,108,95,1.887611657,
10/31/06,0.028356565,-0.055556237,0.011270248,176,45,1.94113784,
11/30/06,-0.005574454,-0.01642702,-0.007997352,167,48,1.930317057,
12/31/06,0.025744707,-0.040050557,0.005162599,134,61,1.980012504,
1/31/07,-0.003296073,0.006518764,0.000201767,121,67,1.973486237,
2/28/07,-0.000166004,-0.019607009,-0.010496973,97,110,1.973158631,
3/31/07,0.036671686,-0.044435161,-0.007292773,98,116,2.045517685,
4/30/07,0.041838726,-0.029285352,0.012109614,110,79,2.131099539,
5/31/07,-0.021971102,0.001650482,-0.016007236,151,51,2.084276934,
6/30/07,-0.029316264,0.022673941,-0.006893948,120,91,2.023173721,
7/31/07,0.020539611,-0.006258166,0.000854041,56,155,2.064728923,
8/31/07,0.03458269,-0.032776273,-0.020384765,39,173,2.136132802,
9/30/07,0.030112782,-0.033960694,-0.008380029,105,158,2.200457704,
10/31/07,-0.032392426,0.036245339,-0.007781275,161,90,2.129179541,
11/30/07,0.003183467,0.001544229,0.002254565,104,136,2.135957713,
12/31/07,-0.058656413,0.059216395,0.021110961,75,157,2.010670097,
1/31/08,-0.006666608,0.017696408,0.013413847,45,211,1.997265747,
2/29/08,-0.005755913,0.009745905,0.005917521,61,186,1.985769658,
3/31/08,0.064400217,-0.062316192,-0.023536601,71,161,2.113653654,
4/30/08,0.025311995,-0.042861673,0.002359051,132,67,2.167154445,
5/31/08,-0.082820101,0.080348209,-0.044631773,180,55,1.987670495,
6/30/08,0.006305615,-0.010504181,-0.002559253,95,106,2.000203981,
7/31/08,0.039361639,-0.028975103,-0.000355442,98,136,2.078935287,
8/31/08,-0.103974071,0.086387136,0.01075255,89,135,1.862779923,
9/30/08,-0.185178824,0.173344423,0.023334696,100,139,1.517832527,
10/31/08,-0.136193763,0.073061417,0.054732496,24,250,1.311113203,
11/30/08,0.040989722,-0.034557776,-0.028705505,22,262,1.364855369,
12/31/08,-0.070092472,0.072916366,0.029091077,57,129,1.269189282,
1/31/09,-0.077827483,0.10137645,0.00481908,118,101,1.170411475,
2/28/09,0.109384442,-0.104482091,-0.010161466,86,109,1.298436281,
3/31/09,0.22329101,-0.145773625,0.068176888,120,87,1.588365429,
4/30/09,0.049855908,-0.041811859,0.038659845,230,32,1.66755483,
5/31/09,0.002798974,-0.035109303,0.001464175,274,10,1.672222272,
6/30/09,0.091662345,-0.091168603,0.059449273,173,37,1.825502087,
7/31/09,0.04764835,-0.069849044,0.019019544,149,48,1.91248425,
8/31/09,0.04919359,-0.081960749,0.005765001,101,50,2.006566216,
9/30/09,-0.03461883,0.033395313,-0.017419851,130,44,1.937101241,
10/31/09,0.072157834,-0.060103753,-0.024558451,43,117,2.076878271,
11/30/09,0.041532194,-0.044884421,-0.013460197,56,98,2.163135583,
12/31/09,-0.034910138,0.019953351,0.000719599,61,113,2.087620221,
1/31/10,0.023622828,-0.047490839,-0.016217962,73,93,2.136935714,
2/28/10,0.059002719,-0.069540951,-0.00813474,75,82,2.263020731,
3/31/10,0.046113436,-0.041534699,0.004348218,78,71,2.367376393,
4/30/10,-0.069855705,0.074992059,-0.037975336,163,46,2.202001646,
5/31/10,-0.044841649,0.046542435,0.022518784,51,143,2.103260261,
6/30/10,0.099840909,-0.06858875,-0.062637171,10,273,2.313251677,
7/31/10,-0.048569319,0.038341659,0.027190816,34,231,2.200898617,
8/31/10,0.092462478,-0.103830741,-0.062600202,46,173,2.404399157,
9/30/10,0.034276513,-0.043441247,0.021912324,185,35,2.486813575,
10/31/10,0.003975634,-0.010496861,-0.00079463,120,59,2.496700236,
11/30/10,0.065196361,-0.069460506,0.041937447,182,38,2.659476006,
12/31/10,0.025758972,-0.021835138,0.007205336,108,69,2.727981373,
1/31/11,0.036033586,-0.047890632,0.001306324,119,84,2.826280326,
2/28/11,0.021687112,-0.015462347,0.007355341,121,76,2.887574185,
3/31/11,0.03258225,-0.033069841,-0.00560315,82,114,2.98165785,
4/30/11,-0.008617082,0.000310669,-0.003393398,78,110,2.955964659,
5/31/11,-0.018537591,0.004381416,-0.002910995,56,120,2.901168195,
6/30/11,-0.031101735,0.03732727,0.014910872,57,117,2.810936832,
7/31/11,-0.049414354,0.057625982,0.046673017,22,193,2.672036203,
8/31/11,-0.071969062,0.071629385,0.0589356,16,165,2.479732264,
9/30/11,0.168730035,-0.117009438,-0.100564001,16,262,2.898137577,
10/31/11,0.002412754,-0.005345292,-6.08E-05,141,66,2.905130069,
11/30/11,0.002118417,-0.025233586,-0.005661708,161,64,2.911284347,
12/31/11,0.071472572,-0.071579459,0.048012039,209,41,3.119361327,
1/31/12,0.056347315,-0.042227068,0.011393063,99,83,3.295128964,
2/29/12,0.039062623,-0.027388813,0.015421247,134,74,3.423845344,
3/31/12,-0.004814098,0.00114309,-0.003097179,163,66,3.407362618,
4/30/12,-0.066622921,0.066146634,-0.00598298,113,95,3.180354167,
5/31/12,0.027632252,-0.024511615,-0.01413891,37,149,3.268234515,
6/30/12,0.006522674,-0.011098948,-0.004691085,72,126,3.289552145,
7/31/12,0.027113668,-0.029258834,-0.006654019,81,121,3.37874397,
8/31/12,0.028353844,-0.021841483,0.008849374,107,68,3.474544349,
9/30/12,-0.005271807,-0.019020106,-0.009617534,119,55,3.456227221,
10/31/12,0.011843761,-0.020970209,-0.003253746,115,98,3.497161952,
11/30/12,0.01560322,-0.018003935,-0.001640242,93,98,3.551728939,
12/31/12,0.068777947,-0.069128349,-0.008055561,93,117,3.796009562,
1/31/13,0.019027175,-0.031300169,0.008828682,181,46,3.868236899,
2/28/13,0.041870587,-0.061508032,0.013336217,160,61,4.030202249,
