,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2001-01-31,0.04,0.025,0.015,0.025,0.02,0.015,0.065,0.015,0.03,0.05,0.015,0.035,0.025,0.015,0.035,0.005,0.03,0.035,0.02,0.04,0.005,0.035,0.035,0.05,0.145,0.04,0.035,0.03,0.035,0.035
2001-02-28,0.035,0.055,0.04,0.01,0.005,0.005,0.045,0.045,0.025,0.05,0.015,0.035,0.02,0.015,0.015,0.015,0.02,0.05,0.03,0.02,0.025,0.03,0.04,0.055,0.105,0.035,0.035,0.035,0.045,0.045
2001-03-31,0.03,0.04,0.02,0.025,0.02,0.03,0.05,0.035,0.02,0.045,0.01,0.025,0.04,0.005,0.03,0.03,0.015,0.04,0.025,0.025,0.035,0.025,0.05,0.055,0.115,0.015,0.025,0.03,0.03,0.06
2001-04-30,0.05,0.04,0.02,0.02,0.03,0.04,0.055,0.01,0.03,0.025,0.015,0.03,0.025,0.04,0.03,0.02,0.045,0.04,0.015,0.03,0.04,0.03,0.045,0.035,0.1,0.02,0.03,0.025,0.035,0.03
2001-05-31,0.055,0.035,0.025,0.04,0.015,0.045,0.04,0.02,0.015,0.04,0.015,0.015,0.025,0.005,0.045,0.05,0.01,0.035,0.015,0.015,0.035,0.025,0.06,0.045,0.105,0.04,0.025,0.025,0.035,0.045
2001-06-30,0.055,0.035,0.045,0.035,0.015,0.045,0.03,0.02,0.02,0.02,0.015,0.045,0.025,0.015,0.04,0.03,0.025,0.045,0.025,0.03,0.01,0.02,0.08,0.01,0.095,0.03,0.025,0.035,0.02,0.06
2001-07-31,0.06,0.02,0.02,0.035,0.005,0.045,0.055,0.035,0.025,0.03,0.015,0.025,0.035,0.025,0.05,0.035,0.02,0.05,0.02,0.02,0.025,0.035,0.05,0.03,0.085,0.015,0.03,0.02,0.02,0.065
2001-08-31,0.05,0.035,0.02,0.03,0.02,0.025,0.05,0.025,0.015,0.03,0.01,0.01,0.005,0.03,0.055,0.015,0.015,0.035,0.02,0.025,0.02,0.02,0.09,0.045,0.11,0.025,0.015,0.03,0.055,0.07
2001-09-30,0.055,0.035,0.055,0.035,0.015,0.03,0.07,0.025,0.02,0.01,0.01,0.02,0.02,0.02,0.025,0.025,0.025,0.035,0.025,0.035,0.035,0.02,0.035,0.025,0.12,0.015,0.045,0.025,0.035,0.055
2001-10-31,0.04,0.05,0.035,0.03,0.02,0.01,0.045,0.035,0.025,0.02,0.015,0.02,0.015,0.01,0.04,0.01,0.02,0.025,0.025,0.025,0.03,0.025,0.075,0.03,0.15,0.025,0.02,0.055,0.03,0.045
