,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.006825687715938971,-0.00767317028304686,-0.0072357599258298854,16,15
2001-02-28,-0.024287925079596484,0.03247193122615276,0.007245328423597541,16,20
2001-03-31,0.030793447870112615,-0.11231026447728622,-0.07442987003238653,9,25
2001-04-30,0.06346493924921714,-0.09504469214002549,-0.03368612515064125,12,19
2001-05-31,-0.03472860446653458,-0.013118346477146142,-0.025124045360139718,15,12
2001-06-30,0.040244359198938394,-0.0007725897241394556,0.026572042891245776,20,10
2001-07-31,-0.010969836752826347,0.0469928706039243,0.019943607170773998,14,16
2001-08-31,-0.06056324885430222,0.04143294479099584,0.01593389637967132,7,21
2001-09-30,-0.016585325021224298,-0.03754530815402136,-0.034369553133900596,5,28
2001-10-31,0.07245924993709878,-0.10207223306682703,-0.05073944394802533,10,24
2001-11-30,0.0542223494826223,-0.03147921894456497,0.012595873389417053,18,17
2001-12-31,-0.012913255875514194,0.02282890966509006,-0.0069562282854134854,30,6
2002-01-31,-0.04553344207819563,-0.024258178802830654,-0.03908639260081231,23,10
2002-02-28,0.1343449173780678,-0.04878011517688216,0.04278240110059282,15,15
2002-03-31,0.011492565384064285,-0.027903680321163655,-0.007570134150723429,16,15
2002-04-30,-0.0010556674103264295,0.03753351643943087,0.019992978325904822,15,18
2002-05-31,-0.06890980139822096,0.040774912201441436,-0.00575799659841534,14,19
2002-06-30,-0.08751637540086309,0.09724283633922487,0.06644963438254355,6,30
2002-07-31,0.013091806616994403,-0.05456049966209585,-0.0410300384062778,7,28
2002-08-31,-0.04121792062208273,0.09574291373622743,0.062428116189611436,9,28
2002-09-30,0.056821488965785746,-0.024778867842944134,-0.006127357715234446,8,27
2002-10-31,0.21950030052672995,-0.06603311599771974,0.12160312914691862,23,12
2002-11-30,-0.024019420503290687,0.08204846645352416,0.013247674913968586,24,13
2002-12-31,-0.023794709282863525,-0.004675726332695732,-0.016890632106414047,23,13
2003-01-31,-0.04646527423882284,0.004405651450516268,-0.021029811394153285,17,17
2003-02-28,0.041795651861430985,-0.04912707944372098,-0.028596140116751184,7,24
2003-03-31,0.087789480609435,-0.02517011423499694,0.0388403228435145,17,13
2003-04-30,0.07638064059537913,-0.2912978389779744,-0.0040490268112919545,25,7
2003-05-31,-0.0015947151617574048,-0.00032768556746120593,-0.001494686509576126,35,3
2003-06-30,0.046934055928028004,-0.05562962097623887,0.0344262904518979,36,5
2003-07-31,0.02623247194029097,-0.0018506639309116353,0.017883431546149655,26,11
2003-08-31,0.0106620201551801,0.008916585377650027,0.00986006363577439,20,17
2003-09-30,0.03996246201819481,-0.12876970838788745,-0.0496765035100364,15,17
2003-10-31,0.04136021248227542,-0.009104751203777893,0.019732370902538286,16,12
2003-11-30,0.058240504147623155,-0.038604818604591695,0.00751200175360585,10,11
2003-12-31,-0.006566613164219348,-0.016021364296100078,-0.009718196874846256,18,9
2004-01-31,0.03300915154284578,-0.030396649208689005,3.8135152047693575e-05,12,13
2004-02-29,0.0034752919372248304,-0.019494165497879586,-0.008405461908518833,14,15
2004-03-31,-0.05399470561526197,-0.02055985849132679,-0.030590312628507345,9,21
2004-04-30,0.012003442897055697,-0.0025453569990143087,0.0010918429750031928,9,27
2004-05-31,0.04618682128462208,-0.03012110154457708,-0.00892445631424398,10,26
2004-06-30,-0.04175702225318212,0.0459268110057559,0.009156171252007699,13,18
2004-07-31,0.0027538222449625515,-0.010258099828105117,-0.006191874180271471,10,22
2004-08-31,-0.004433782247152301,-0.03873975367097235,-0.029658761235255276,9,25
2004-09-30,-0.010214544405490161,-0.02221817443384159,-0.018842153488367753,9,23
2004-10-31,0.03594093322080376,-0.05044087806282642,0.003255923545916666,23,14
2004-11-30,0.03411988482998115,-0.06368807203737581,0.0126498455176345,32,9
2004-12-31,-0.03276144733872506,-0.02464040838376448,-0.030887361426041846,30,9
2005-01-31,0.0188971440902023,-0.019441682474332832,0.0049557526121895255,21,12
2005-02-28,-0.03347801212156406,0.026596502609306294,-0.006347586114074223,17,14
2005-03-31,0.025969465700133962,0.022992425832756264,0.02392806693393211,11,24
2005-04-30,0.029175776363639754,-0.04977748702167758,-0.02423378416172197,11,23
2005-05-31,0.042058538184030075,-0.03901077495334271,-0.005629293073248031,14,20
