,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.20385634952434775,0.023978915770215773,-0.0970585689175211,17,15
2001-02-28,-0.04828000566448177,0.03623424852598828,-0.0019334791729336777,14,17
2001-03-31,0.1587795434878542,-0.08960340715760773,0.026826100957452546,15,17
2001-04-30,0.03833505917317717,-0.03472478739549859,-0.003131340230665831,16,21
2001-05-31,-0.029125818771985768,-0.0006850662979756839,-0.017150765098718365,22,16
2001-06-30,0.051577150467803375,0.048856064134210155,0.05067012168993897,24,12
2001-07-31,-0.06722254712661396,0.05657193179589956,0.004053061949984732,14,19
2001-08-31,-0.07489025148675052,0.06885756332800895,0.038365602609726636,7,26
2001-09-30,0.053505613219262116,-0.05677762521913403,-0.040235139453374605,6,34
2001-10-31,0.04927752831800203,-0.10460549608950691,-0.05956656211657746,12,29
2001-11-30,0.055829658969003874,-0.061759971197763476,0.002914325393958567,22,18
2001-12-31,-0.01471348046718905,0.062148441438028314,-0.005776047687512614,38,5
2002-01-31,-0.026452708187796457,0.027147267463398395,-0.01196622828206812,27,10
2002-02-28,0.11067810846060007,-0.03306059816034808,0.038808755150125995,19,19
2002-03-31,-0.022057460509678408,-0.02200379286002506,-0.02203306612347234,18,15
2002-04-30,-0.017017572303157036,0.02894225795285778,0.007932049835822436,16,19
2002-05-31,-0.06666494178001797,0.058783332293649855,0.0026617359975352984,17,21
2002-06-30,-0.08189646675028123,0.0867031994136512,0.05644172087140692,7,32
2002-07-31,0.005540262132046864,-0.039266502343824235,-0.03007537116928657,8,31
2002-08-31,-0.08844664193664992,0.11115744625875999,0.06247352230866002,10,31
2002-09-30,0.13209736401044864,-0.0701533812371726,-0.02464696355645783,9,31
2002-10-31,0.19683819727006965,-0.04976583093459995,0.1019904941144275,24,15
2002-11-30,-0.059084472622308884,0.08090344163725534,-0.005755743380570134,26,16
2002-12-31,-0.01918868176628381,0.013501612102220442,-0.007453704480154079,25,14
2003-01-31,0.0005955764519112991,0.01666746375493783,0.00921951598036456,19,22
2003-02-28,0.04025594009216046,-0.04641940513150934,-0.022993636152139126,10,27
2003-03-31,0.09856112784243098,-0.06995241100635395,0.02196406472934692,18,15
2003-04-30,0.12541010219260976,-0.38012794673163325,0.04115376070523592,30,6
2003-05-31,0.008063657874460738,-0.021527515996800473,0.006620185978301655,39,2
2003-06-30,0.05828769810513366,0.05295895438503384,0.05778019870321939,38,4
2003-07-31,0.047931780692503326,-0.009702471662676087,0.032082361294828984,29,11
2003-08-31,-0.013954464014437304,0.031447223005816205,0.008097783966828689,18,17
2003-09-30,0.08370033885006703,-0.12728188622390216,-0.02765139105008337,17,19
2003-10-31,0.07708891016368906,-0.01661454871363527,0.03960752661275932,21,14
2003-11-30,0.04036988115073287,-0.01648104290501759,0.009507950949039763,16,19
2003-12-31,0.014970165497351364,-0.03326100833818058,-0.003279467845822886,23,14
2004-01-31,0.020126312007142225,-0.005139494509442654,0.007854348841943854,18,17
2004-02-29,0.003466949119900908,0.010185021853841191,0.007305847825009642,15,20
2004-03-31,-0.030899155304106623,-0.0033217979357442833,-0.011807138664471157,12,27
2004-04-30,0.05732773735544883,-0.04893346038282792,-0.025607831611011073,9,32
2004-05-31,0.028306811932436796,-0.03809103416798914,-0.02447096317302997,8,31
2004-06-30,-0.05542520394370443,0.051141999560310174,0.010819273910142483,14,23
2004-07-31,-0.007927641555648806,-0.016669900378398952,-0.013922333319820335,11,24
2004-08-31,0.012894512648507439,-0.0526953554662085,-0.037703385611416285,8,27
2004-09-30,0.014852744317492643,-0.03395543983115898,-0.017686045114941772,13,26
2004-10-31,0.044116407639904834,-0.05805488630537939,0.001347028779088185,25,18
2004-11-30,0.0395333388108016,-0.0616619004641174,0.01800243683741458,37,10
