,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.063651879654093,0.015403711639841847,-0.024124084007125575,82,88
2001-02-28,-0.04759930655768106,0.04097003127514085,-0.003314637641270105,89,78
2001-03-31,0.07413453328096058,-0.11136721508674087,-0.018616340902890147,88,87
2001-04-30,0.02431876384977613,-0.036131810089290284,-0.005906523119757076,63,88
2001-05-31,0.0012293359566608658,-0.022025757632342786,-0.01039821083784096,88,61
2001-06-30,0.013289589483819109,-0.009536051554645531,0.001876768964586789,115,44
2001-07-31,-0.03406597669495267,0.019641700555334134,-0.007212138069809268,54,93
2001-08-31,-0.0818413762039284,0.10597557316346355,0.012067098479767578,30,135
2001-09-30,0.043675641894696346,-0.07204740319045057,-0.014185880647877111,19,209
2001-10-31,0.0591425727287167,-0.10989498508549468,-0.02537620617838899,40,150
2001-11-30,0.04160863296565337,-0.03880146388876801,0.0014035845384426787,107,90
2001-12-31,0.0067414429200764936,0.005009059395008,0.005875251157542246,187,21
2002-01-31,0.0008819311074138951,-0.0032053357696080935,-0.001161702331097099,154,31
2002-02-28,0.07003561105451976,-0.05387987834294183,0.008077866355788967,97,80
2002-03-31,-0.021072611228037254,0.016904226824195782,-0.0020841922019207357,117,80
2002-04-30,-0.016123528605758348,0.00387515421309058,-0.006124187196333884,96,96
2002-05-31,-0.051816295562477285,0.05310622984331768,0.0006449671404201961,85,115
2002-06-30,-0.12928047961975866,0.0835811454778361,-0.022849667070961283,31,195
2002-07-31,-0.011909179967950724,-0.030453646052847314,-0.021181413010399018,23,211
2002-08-31,-0.06656225944029548,0.07771897828436775,0.005578359422036133,39,156
2002-09-30,0.08740991402545174,-0.05820241270560956,0.014603750659921092,28,167
2002-10-31,0.12540451202008504,-0.110140527267294,0.007631992376395523,97,73
2002-11-30,-0.049413934441689664,0.039392408060490776,-0.005010763190599444,131,72
2002-12-31,-0.02955575477806459,0.017024633790974374,-0.0062655604935451074,134,75
2003-01-31,-0.012896163420043138,0.017594474832505362,0.002349155706231112,96,100
2003-02-28,0.015627768495198584,-0.02133133251022145,-0.002851782007511433,42,137
2003-03-31,0.08904595665639709,-0.09427832423004895,-0.002616183786825932,79,74
2003-04-30,0.09783597512616893,-0.14986631286217428,-0.026015168868002675,170,24
2003-05-31,0.015075090282685662,0.004997960039536677,0.01003652516111117,255,6
2003-06-30,0.03608390992269619,-0.0109730420213743,0.012555433950660944,252,10
2003-07-31,0.04032727015316853,-0.030504891006993044,0.004911189573087744,203,23
2003-08-31,-0.009972531386037903,0.015477721271478201,0.002752594942720149,105,55
2003-09-30,0.06182237904889429,-0.08071734665801865,-0.00944748380456218,86,72
2003-10-31,0.021804190594260583,-0.012423542666378302,0.00469032396394114,116,52
2003-11-30,0.0379752264338111,-0.043923970737540174,-0.0029743721518645377,88,78
2003-12-31,0.01868184399138361,-0.020046992722397846,-0.0006825743655071177,141,45
2004-01-31,0.02325808857143409,-0.028341079034719108,-0.0025414952316425085,84,89
2004-02-29,-0.00500904756494524,-0.015264777452599168,-0.010136912508772205,84,112
2004-03-31,-0.03536775278995022,0.004290546909593672,-0.015538602940178274,57,160
2004-04-30,0.016974300819985463,-0.029223404662318715,-0.006124551921166626,39,188
2004-05-31,0.036631534156373734,-0.033430400358443364,0.0016005668989651847,40,167
2004-06-30,-0.03824207873274109,0.03164829968786615,-0.003296889522437469,70,122
2004-07-31,0.014234552795202296,-0.0009530620060144181,0.006640745394593939,46,145
2004-08-31,0.02657548753109151,-0.04317658719761681,-0.008300549833262649,32,147
2004-09-30,0.010595126782877143,-0.03112628539842185,-0.010265579307772353,48,140
2004-10-31,0.059625105659370244,-0.05611520653051613,0.0017549495644270559,141,82
2004-11-30,0.038633558216091296,-0.03871825138269192,-4.234658330031296e-05,207,41
2004-12-31,-0.02232283708873877,0.008871661489562551,-0.00672558779958811,176,36
