,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.019358627137452233,0.007779118379676011,-0.011306497595259294,86,78
2001-02-28,-0.058149634220539426,0.054430949871999944,-0.020519883804344722,79,86
2001-03-31,0.03406031593061419,-0.06752402072862297,-0.040188107023294645,46,123
2001-04-30,0.01633781767019818,-0.027918900712021612,-0.002576713900971832,54,76
2001-05-31,-0.035263345718118295,0.04718590399947359,0.001202883795895528,82,54
2001-06-30,-0.0010351796700740197,0.010582867018423762,0.0019467142722499528,101,38
2001-07-31,-0.04264870493416551,0.03640035340151626,-0.004715293558041485,51,78
2001-08-31,-0.0723560183623594,0.04618323954365671,0.020793226374618577,28,122
2001-09-30,-0.009491286068149843,-0.02099252988378676,-0.020453627661916964,20,175
2001-10-31,0.05237534129352731,-0.0718995136744554,-0.05475957458834302,30,127
2001-11-30,0.014193771949348302,-0.01589665055598706,-0.002951108014236112,91,79
2001-12-31,-0.02275524462287248,0.03275584474723583,-0.01335704579092827,173,21
2002-01-31,0.013623157686492257,-0.03413256920483492,0.006582073107136671,136,34
2002-02-28,0.052175578520870666,-0.013640743088393914,0.025376311807078267,86,71
2002-03-31,-0.055468895410216275,0.03086783738819192,-0.019337829440955922,110,66
2002-04-30,-0.001914570400934876,0.008260619993905626,0.004646844609298146,89,91
2002-05-31,-0.046573510146412166,0.051802751131708534,0.02486801210639693,78,103
2002-06-30,-0.0644406807514583,0.057812540271642995,0.04630882245203825,24,177
2002-07-31,0.005107826462744499,-0.01700458275162997,-0.015819584566587188,16,198
2002-08-31,-0.10329075391850576,0.08098802234266836,0.05833459492794104,29,134
2002-09-30,0.07242677783163017,-0.06661272364375295,-0.05291455912646881,29,141
2002-10-31,0.03964751795408317,-0.03789303601277631,-0.0029437199573994306,94,60
2002-11-30,-0.03049061127133493,0.04755603221847253,-0.001277921758490269,127,62
2002-12-31,-0.02664781491002608,0.004282897341778968,-0.01416746173584967,115,65
