,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.04700118127740748,0.06558225622364222,-0.02435352529773561,17,18
2001-02-28,-0.04504518834692421,0.07947912590966007,-0.02898203275150634,18,16
2001-03-31,0.01887008864641248,-0.06400695987758487,-0.019582276121523,18,18
2001-04-30,-0.011411541971924639,-0.010723924104190534,-0.01098721916782017,13,18
2001-05-31,-0.08458125720767143,-0.0004588148999032605,-0.0712032375777334,18,12
2001-06-30,0.04889317563809347,0.05583228320231448,0.05030450152575693,23,9
2001-07-31,0.006465230089357021,0.06626955200561088,0.05095956522841547,11,19
2001-08-31,-0.10767465178256222,0.011752222625953093,0.003503946017636893,6,27
2001-09-30,0.051016997734802665,-0.03149793645912317,-0.028878202389292354,4,42
2001-10-31,0.03331009939207767,-0.08641525818598189,-0.06980336222482685,8,30
2001-11-30,-0.013987224068610495,0.026329980632435072,0.011277019134182343,22,18
2001-12-31,-0.02064361274621444,-0.0317399967776177,-0.021271931189425938,38,4
2002-01-31,-0.04633600461753887,-0.06039489503053659,-0.049915157106809986,31,6
2002-02-28,-0.01270635077546007,-0.006029603308223042,-0.00970783045062497,20,16
2002-03-31,-0.10553669200303378,0.00700185754985083,-0.06279263847780657,24,16
2002-04-30,-0.04189369976594563,-0.001636153387559042,-0.01903527623866113,19,19
2002-05-31,-0.09377355049359161,0.0672925735733848,0.04254244876551379,17,23
2002-06-30,-0.10369943127124137,0.0011035771285357247,-0.007345472011979117,6,39
2002-07-31,-0.0026951200300952254,0.007517084817088194,0.006632419804733788,5,42
2002-08-31,-0.11234749718994369,0.12934640113680898,0.10410482150677604,8,31
2002-09-30,0.1291182557337706,-0.08570173433386813,-0.06534662173969528,6,34
2002-10-31,0.08047120988673877,-0.021309270076874373,0.04754576894571663,20,15
2002-11-30,-0.04028623156924302,0.042334095078076846,-0.004481054493543437,26,15
2002-12-31,0.008630389671010852,0.013109670026908707,0.011196981243367071,27,15
2003-01-31,0.00994563638015703,0.029390198526337764,0.017269122962510937,19,20
