,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.06366777915785136,0.017903711639841856,-0.021442536862574874,82,88
2001-02-28,-0.047135246030887416,0.04402733936841186,-0.004556313928220687,89,78
2001-03-31,0.07735349994643699,-0.10886721508674087,-0.015224798384342856,88,87
2001-04-30,0.026638407146594417,-0.03401398974939585,-0.008708685084181367,63,88
2001-05-31,0.0027913663193122468,-0.019525757632342787,-0.006345174358882095,88,61
2001-06-30,0.014918194609765366,-0.0070360515546455315,0.00884280573407933,115,44
2001-07-31,-0.03256597669495267,0.022141700555334133,0.002045002789922656,54,93
2001-08-31,-0.0803413762039284,0.10847557316346355,0.07414521873302866,30,135
2001-09-30,0.0475533072575751,-0.0695474031904506,-0.05978901065311512,19,209
2001-10-31,0.06064257272871669,-0.10739498508549472,-0.0720186571246081,40,150
2001-11-30,0.04310863296565338,-0.03630146388876804,0.006829908514394864,107,90
2001-12-31,0.008285514807349632,0.0075090593950080005,0.008207122674372833,187,21
2002-01-31,0.0024283323627531253,-0.0007053357696080946,0.0019032312162493533,154,31
2002-02-28,0.07301057210719027,-0.0520221268222286,0.01649861778880886,97,80
2002-03-31,-0.019572611228037263,0.019404226824195785,-0.003744453643374096,117,80
2002-04-30,-0.014623528605758343,0.00644156206947694,-0.004090983268140701,96,96
2002-05-31,-0.050908251980859374,0.05657329471015801,0.010893637366475622,85,115
2002-06-30,-0.1277804796197587,0.08696402902119853,0.0575079238536336,31,195
2002-07-31,-0.010409179967950722,-0.028351091257390194,-0.026587570062274347,23,211
2002-08-31,-0.06506225944029548,0.08021897828436773,0.05116273073943509,39,156
2002-09-30,0.08890991402545174,-0.056369507468550954,-0.035508872587360824,28,167
2002-10-31,0.12821280595843643,-0.10764052726729403,0.026934609926210995,97,73
2002-11-30,-0.048279689666435394,0.04189240806049076,-0.016297467812550256,131,72
2002-12-31,-0.028474497386692423,0.0197849622415207,-0.011156509481831254,134,75
2003-01-31,-0.011514873455668586,0.02029541958083041,0.004714867889483963,96,100
2003-02-28,0.01712776849519858,-0.01896878749204789,-0.010499204522973296,42,137
2003-03-31,0.09169210800647805,-0.09177832423004893,0.0029547747678963744,79,74
2003-04-30,0.10050463365706504,-0.14736631286217428,0.0698401866649942,170,24
2003-05-31,0.01677009134483491,0.0074979600395366774,0.01655693890103495,255,6
2003-06-30,0.038180479921469154,-0.0084730420213743,0.036399811145024746,252,10
2003-07-31,0.04244540715050602,-0.028004891006993042,0.03527568654155701,203,23
2003-08-31,-0.0084725313860379,0.018304588930959622,0.0007321037229299978,105,55
2003-09-30,0.06405868578202094,-0.07821734665801862,-0.0007759619121742997,86,72
2003-10-31,0.023627014239916137,-0.009923542666378302,0.013180134245141821,115,52
2003-11-30,0.03992380855237714,-0.04195504728545734,0.0014506112309850357,88,78
2003-12-31,0.02046811128204153,-0.017936925894006688,0.011176570029771802,141,45
2004-01-31,0.02534756687075395,-0.0264217774399937,-0.001285217196624901,84,89
2004-02-29,-0.0035508219407184003,-0.012878748679854517,-0.008881065791653325,84,112
2004-03-31,-0.033867752789950224,0.006875428745963594,-0.0038266972795990223,57,160
2004-04-30,0.019421700862035998,-0.02686555043179915,-0.01891311518748386,39,188
2004-05-31,0.038131534156373735,-0.030930400358443372,-0.017585099002923158,40,167
2004-06-30,-0.03779185241081943,0.03414829968786613,0.007920119235220355,70,122
2004-07-31,0.01607660829075017,0.0015576065318751286,0.0050543294685675465,46,145
2004-08-31,0.02807548753109151,-0.04123001015268643,-0.028840200510893726,32,147
2004-09-30,0.012095126782877145,-0.029035232332685037,-0.01853386404786065,48,140
2004-10-31,0.06112510565937026,-0.0542690505125956,0.018693173793445594,141,82
2004-11-30,0.04013355821609131,-0.03886836733752303,0.027072756007630875,207,41
2004-12-31,-0.020822837088738767,0.011687540975383734,-0.015302206851434947,176,36
2005-01-31,0.034123116242948344,-0.01514494702777578,0.018984884511720264,124,55
2005-02-28,-0.026215907452495944,0.010450516891861227,-0.00673032194378042,82,93
2005-03-31,-0.01456062036122109,0.02530793371667722,0.01647108925611213,43,151
