,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.11334947506556878,0.040385373544703236,-0.034285838637428886,17,18
2001-02-28,-0.052144168260026914,0.007054814361636396,-0.02428582349689124,18,16
2001-03-31,0.04242854110938859,-0.08147482906290265,-0.01952314397675703,18,18
2001-04-30,0.003658290443633196,-0.08474041899709184,-0.04766999245743295,13,18
2001-05-31,-0.05959511376651955,-0.06620355453724698,-0.062238490074810526,18,12
2001-06-30,0.04240771479627253,0.011844723926201698,0.03381187361406511,23,9
2001-07-31,-0.005868736552627655,0.03698876342204631,0.021274346764665854,11,19
2001-08-31,-0.07942964107650974,0.06374835388468751,0.03771599116446983,6,27
2001-09-30,0.06804312668788326,-0.06560810957953499,-0.05398626294758557,4,42
2001-10-31,0.05404684044308995,-0.18456324969656518,-0.13432954650926937,8,30
2001-11-30,0.04878519993599108,-0.03968654403103453,0.00897291515082955,22,18
2001-12-31,-0.024324907417499007,-0.04513809662939572,-0.02630711591387012,38,4
2002-01-31,-0.045209923325570715,-0.04462860615993212,-0.045115655677088785,31,6
2002-02-28,0.07689146623759766,-0.04012341824667526,0.02488485091125414,20,16
2002-03-31,-0.030444677249849394,0.011124927401376128,-0.013816835389359187,24,16
2002-04-30,-0.016698074355328368,0.008480056655755313,-0.0041090088497865275,19,19
2002-05-31,-0.0713981451321717,0.06068648030285688,0.004550514492969731,17,23
2002-06-30,-0.17071086581376801,0.0933176494893272,0.05811384744891451,6,39
2002-07-31,0.08849121202418996,-0.03595138082364463,-0.022712807116428188,5,42
2002-08-31,-0.049616000310557976,0.09909816310278388,0.06859269368466248,8,31
2002-09-30,0.12123891969415153,-0.05589169155748523,-0.029322099869739715,6,34
2002-10-31,0.17096435962208584,-0.07863386152115791,0.06399369341783852,20,15
2002-11-30,-0.035221248368376624,0.020757320451168033,-0.014741284166104188,26,15
2002-12-31,-0.003959720649529999,-0.00015355557057571178,-0.0026003759784748964,27,15
2003-01-31,0.027452634398446522,0.002426210598523732,0.014618570911306628,19,20
2003-02-28,0.004257829474176887,-0.016246793626278615,-0.011259182601843493,9,28
2003-03-31,0.07503943484178176,-0.05160894407079089,0.013757961174407895,16,15
2003-04-30,0.10110305832119824,-0.23675930011517404,0.05778737134217616,34,5
2003-05-31,0.0035957607699155414,-0.06931519047524787,0.0021936270921239375,51,1
2003-06-30,0.05093387636771775,0.02950038015125717,0.050125065189738104,51,2
2003-07-31,0.02642487284384728,-0.03135790665388075,0.020144135941920317,41,5
2003-08-31,-0.008064628544718963,0.007352830909394179,-0.002764876857367571,21,11
2003-09-30,0.0512861759967457,-0.11999684627660777,-0.02900274069388874,17,15
2003-10-31,0.026390604636318146,-0.011408036437896434,0.014161632524072251,23,11
2003-11-30,0.014543530502443851,-0.04494258743469465,-0.013449936762091913,18,16
2003-12-31,0.023830334284304863,-0.030978212076396262,0.010498525710080264,28,9
2004-01-31,0.015891960017860148,-0.022541954318419356,-0.003874053069369311,17,18
2004-02-29,-0.011493302848699278,-0.01860691720646456,-0.015583631104414316,17,23
2004-03-31,-0.07287335724579558,0.00048513829090486007,-0.01952172412819526,12,32
2004-04-30,0.002776520537059445,-0.0501152102477137,-0.040916648372100975,8,38
2004-05-31,0.026631970345839348,-0.03447448335470845,-0.022835158840318396,8,34
2004-06-30,-0.03599197957790539,0.04341159561454931,0.01490774810956557,14,25
2004-07-31,0.01933486918244938,0.018246557641063237,0.01850431563770732,9,29
2004-08-31,-0.018873493913031447,-0.05549628198735862,-0.04856764640572916,7,30
2004-09-30,-0.016749126255458536,-0.008073970395305205,-0.010356906147977135,10,28
2004-10-31,0.05297903767248916,-0.05617290759825099,0.011743858347987324,28,17
2004-11-30,0.04713456591765876,-0.04155310219961976,0.0329445390188942,42,8
2004-12-31,-0.018656269304498006,-0.009332562572468749,-0.01710231818249313,35,7
2005-01-31,0.01954954910554486,-0.02859596297599337,0.004838420413963736,25,11
2005-02-28,-0.03230580827114793,-0.006141732484849949,-0.018496990495046217,17,19
2005-03-31,0.015297092705655423,0.021369277067069505,0.019968003752897028,9,30
2005-04-30,-0.011772839801467233,-0.03948383580638426,-0.032556086805155,10,30
2005-05-31,0.023727010344525835,-0.022428963767397524,-0.0024696236108901256,16,21
2005-06-30,0.05483106733891995,-0.06412929770187538,-0.003041542680926424,19,18
2005-07-31,0.012639573351217381,-0.03705835426836025,0.006578850470781084,36,5
2005-08-31,0.023322745732864147,-0.026741280511726303,0.004548735891142729,20,12
2005-09-30,-0.0017532758608151458,-0.01629037246473861,-0.009242083202230265,16,17
2005-10-31,0.09965609050423443,-0.07926229793679038,-0.04597515590125088,8,35
2005-11-30,0.004941759813517029,-0.035389458764391916,-0.0158349285447997,16,17
2005-12-31,0.03240550271987711,-0.05041326046128322,-0.011439724846619537,16,18
2006-01-31,0.011355926645053294,-0.02598315136080428,0.0030583537548627216,35,10
2006-02-28,0.020662131514865192,-0.030333103281198485,0.0008306513163959852,22,14
2006-03-31,0.016886654856339976,0.04995377018838587,0.026806789455953745,28,12
2006-04-30,-0.029962891069948757,0.028767911177890678,-0.0005974899460290395,19,19
2006-05-31,-0.002387020098265619,-0.004484912407526758,-0.003960439330211473,11,33
2006-06-30,-0.0016573754910371888,0.008690399470128389,0.006765232035492934,8,35
2006-07-31,0.019074946063477295,-0.031800861801432816,-0.022822778060566328,9,42
2006-08-31,0.022572059441252186,-0.01608364145218571,-5.5667911004143834e-05,17,24
2006-09-30,0.048489861658358994,-0.03829552919505181,0.013775705316994675,27,18
2006-10-31,0.03831080797494308,-0.03675665343646095,0.0266336473109469,38,7
2006-11-30,0.0018240341057957298,-0.018806563102332675,-0.0025654546618911647,37,10
2006-12-31,0.012801392762448639,-0.06436851879370876,-0.011568052992127384,26,12
2007-01-31,-0.001973027217987068,0.015727804755465202,0.004418939883537362,23,13
2007-02-28,-0.0025422463793653167,-0.010576035256778272,-0.007049005993523804,18,23
2007-03-31,0.03395877297313681,-0.03621651111860655,0.0014385193696459886,22,19
2007-04-30,0.03709567651884203,-0.036418072408994924,0.005051221857990024,22,17
2007-05-31,-0.03195532202129738,-0.004377757172566915,-0.025214139502718825,34,11
2007-06-30,-0.008976293668013363,0.03577230587027204,0.010796343337275534,24,19
2007-07-31,-0.005118878078523491,-0.0017942420418480868,-0.002421531860088729,10,43
2007-08-31,0.04629821938487501,-0.015397538110212262,-0.006423609747290478,8,47
2007-09-30,0.042905399515501395,-0.0290160137956591,-0.004170434651803657,19,36
2007-10-31,-0.04230563154429772,0.030298170518034327,-0.013264110719364904,33,22
2007-11-30,0.036671768960142126,0.009753250331588425,0.020926975045327697,22,31
2007-12-31,-0.0768367908373512,0.07868738118858717,0.03294497765154648,15,36
2008-01-31,0.01586728894801638,0.020166141129644728,0.01959296083876095,8,52
2008-02-29,-0.031066331077467476,0.017385115766621682,0.008351795168571161,11,48
2008-03-31,0.056227164461626296,-0.06277963475325084,-0.037111501589257724,11,40
2008-04-30,0.044522784262522874,-0.047794190985517,0.007156389519268639,25,17
2008-05-31,-0.09107112400310086,0.07545423552863804,-0.0532244513822511,34,10
2008-06-30,0.03808132201106585,-0.016827512485299154,0.007881463038065098,18,22
2008-07-31,0.02703075556314338,-0.017896012040841916,-0.0023091743006837524,17,32
2008-08-31,-0.09047606637975263,0.0669192474519243,0.010956469200661395,16,29
2008-09-30,-0.18581000667467787,0.18051890092254308,0.055811187697957225,16,31
2008-10-31,-0.24424026991330033,0.07851489702152394,0.06384420761539555,3,63
2008-11-30,-0.005963882421482953,-0.059467722499446755,-0.05707202816759763,3,64
2008-12-31,-0.1137932422254998,0.07656517457020177,0.043618525509407265,9,43
2009-01-31,-0.051677423679345504,0.11133420184135638,0.04400331303932734,19,27
2009-02-28,0.10091991824045972,-0.08022151524933133,-0.017032643101729802,15,28
