,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.03705473192766048,0.012107564876460829,-0.012473583525599824,141,47
2001-02-28,-0.045611092353270516,0.03953788538782023,-0.0030366034827251434,118,121
2001-03-31,0.06657931375732731,-0.11589086363350522,-0.024655774938088952,85,160
2001-04-30,0.03353943747206357,-0.03639969668976982,-0.0014301296088531264,147,188
2001-05-31,-0.016523817981447156,-0.007165993261033482,-0.011844905621240319,184,153
2001-06-30,0.0017925967313006843,-0.012463499034476494,-0.005335451151587905,216,120
2001-07-31,-0.03140375826735438,0.025035400113815505,-0.003184179076769437,152,185
2001-08-31,-0.10736714248526193,0.10362669388190356,-0.0018702243016791853,107,246
2001-09-30,0.041109792883580284,-0.07227212166454543,-0.015581164390482571,67,279
2001-10-31,0.07287293471179067,-0.10028164990439217,-0.013704357596300752,114,230
2001-11-30,0.03966839324573363,-0.0482488371333654,-0.004290221943815883,189,164
2001-12-31,0.011066604818289782,0.014513480454601484,0.012790042636445634,283,64
2002-01-31,-0.0030571283417095106,0.001405766208028291,-0.0008256810668406099,241,112
2002-02-28,0.07297359309102978,-0.05430982071544823,0.009331886187790777,187,167
2002-03-31,-0.02885503300055914,0.019774977845919677,-0.004540027577319732,198,150
2002-04-30,-0.013017808050075692,0.01134342816982121,-0.0008371899401272411,180,174
2002-05-31,-0.057357989343958006,0.061305488939939014,0.001973749797990504,164,193
2002-06-30,-0.11959501973364187,0.09032071262198972,-0.014637153555826073,69,287
2002-07-31,-0.010934282251523654,-0.024290696549782595,-0.017612489400653124,33,323
2002-08-31,-0.0795577885943941,0.08117895774111852,0.000810584573362215,66,278
2002-09-30,0.07389678543237105,-0.06062255906257333,0.00663711318489886,60,283
2002-10-31,0.10287793058599073,-0.10044063865409993,0.0012186459659454044,160,186
2002-11-30,-0.03961839283610791,0.04702486623983401,0.0037032367018630524,165,182
2002-12-31,-0.026775026293566182,0.01754037796653365,-0.0046173241635162655,219,130
2003-01-31,-0.01866108263896327,0.01147165261851692,-0.003594715010223175,190,164
2003-02-28,0.02366958765574299,-0.02262640455183912,0.0005215915519519356,110,243
2003-03-31,0.08404593112817975,-0.09790119894295947,-0.00692763390738986,128,204
2003-04-30,0.09870713969502021,-0.09445703989857923,0.002125049898220488,284,60
2003-05-31,0.01612432671493055,-0.0035841219425894813,0.006270102386170534,334,18
2003-06-30,0.040378282736922594,-0.008883197258500418,0.015747542739211088,330,10
2003-07-31,0.042101549091971426,-0.037514989331716285,0.0022932798801275703,330,24
2003-08-31,-0.010289184104440512,0.007632806216289208,-0.001328188944075652,220,101
2003-09-30,0.07499355827954193,-0.08649175399007154,-0.005749097855264805,158,145
2003-10-31,0.02803456329034426,-0.01295064644143051,0.0075419584244568755,177,120
2003-11-30,0.03814770908952854,-0.043300547011838435,-0.0025764189611549478,158,161
2003-12-31,0.025880343958992053,-0.02597140404372252,-4.553004236523307e-05,216,108
2004-01-31,0.026370406078711998,-0.02619319399127138,8.860604372030838e-05,141,151
2004-02-29,-0.0005931447116353494,-0.004002368971315146,-0.0022977568414752473,141,201
2004-03-31,-0.018581912288851393,0.004037786688537947,-0.007272062800156723,88,261
2004-04-30,0.016407471455200686,-0.029809282493596826,-0.00670090551919807,62,272
2004-05-31,0.02778253647237324,-0.03561793056226714,-0.00391769704494695,65,301
2004-06-30,-0.03823577030992417,0.03379966807715324,-0.002218051116385466,95,255
2004-07-31,0.007083714297603662,-0.0011770458401791676,0.0029533342287122472,62,305
2004-08-31,0.024971463884427954,-0.04278957869496646,-0.008909057405269254,102,245
2004-09-30,0.02342759417440669,-0.03379463288988567,-0.00518351935773949,125,229
2004-10-31,0.06265388525966668,-0.06064520907743887,0.001004338091113905,194,158
2004-11-30,0.04123188064777983,-0.052383125228681805,-0.0055756222904509885,246,82
2004-12-31,-0.023200580416838753,0.0161262813658908,-0.0035371495254739767,281,64
2005-01-31,0.03300293102069558,-0.023260319928820047,0.004871305545937768,203,134
2005-02-28,-0.012600108961750471,0.007700591578760746,-0.002449758691494863,157,155
2005-03-31,-0.02780728220353828,0.022412347810484713,-0.002697467196526783,128,218
2005-04-30,0.04707480574524342,-0.05658031492951759,-0.004752754592137084,144,213
2005-05-31,0.021015169410682703,-0.02034032847341795,0.00033742046863237743,183,182
2005-06-30,0.05184897358460015,-0.06607490591860071,-0.00711296616700028,191,142
2005-07-31,-0.009038922188219197,-0.0012643972146412945,-0.005151659701430246,304,55
2005-08-31,0.018966078470258652,-0.01444032991573769,0.002262874277260481,219,134
2005-09-30,-0.009305031264418303,0.0081819433958121,-0.0005615439343031013,188,149
2005-10-31,0.04161951958886266,-0.057540117100433955,-0.007960298755785647,139,211
2005-11-30,0.003173692436000128,-0.00978128204756119,-0.003303794805780531,213,148
2005-12-31,0.04800025555943129,-0.057754699552387434,-0.004877221996478071,165,195
2006-01-31,0.008810180996506916,-0.013742060685076548,-0.002465939844284816,275,104
2006-02-28,0.023454586978894167,-0.02983883513885142,-0.003192124079978627,174,187
2006-03-31,0.01026291442572966,-0.014743802958725537,-0.0022404442664979386,210,154
2006-04-30,-0.02562183789063363,0.035435951195421374,0.0049070566523938715,173,194
2006-05-31,0.0056318670761843015,-0.00877857367781628,-0.0015733533008159893,100,243
2006-06-30,0.004777152837050233,0.01556494319202759,0.01017104801453891,71,315
2006-07-31,0.02044990738229703,-0.02958754908723759,-0.00456882085247028,65,321
2006-08-31,0.028709382576964808,-0.03235034003565027,-0.0018204787293427324,132,232
