,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2001-01-31,0.02,0.005,0.035,0.02,0.015,0.02,0.005,0.005,0.015,0.035,0.02,0.01,0.035,0.05,0.075,0.065,0.04,0.025,0.025,0.025,0.015,0.025,0.0,0.025,0.175,0.155,0.01,0.02,0.025,0.005
2001-02-28,0.01,0.015,0.01,0.045,0.005,0.035,0.02,0.01,0.02,0.075,0.005,0.01,0.015,0.05,0.09,0.065,0.055,0.015,0.035,0.04,0.01,0.02,0.005,0.015,0.14,0.125,0.01,0.02,0.025,0.005
2001-03-31,0.009999999999999998,0.009999999999999998,0.014999999999999996,0.039999999999999994,0.004999999999999999,0.024999999999999994,0.019999999999999997,0.014999999999999996,0.014999999999999996,0.06999999999999999,0.009999999999999998,0.019999999999999997,0.0,0.06999999999999999,0.04999999999999999,0.054999999999999986,0.024999999999999994,0.014999999999999996,0.014999999999999996,0.04499999999999999,0.009999999999999998,0.004999999999999999,0.0,0.04499999999999999,0.18499999999999997,0.15499999999999997,0.019999999999999997,0.014999999999999996,0.019999999999999997,0.014999999999999996
2001-04-30,0.05,0.01,0.015,0.035,0.025,0.015,0.03,0.005,0.03,0.03,0.03,0.015,0.01,0.05,0.035,0.06,0.03,0.015,0.02,0.035,0.045,0.01,0.01,0.02,0.19,0.135,0.005,0.005,0.005,0.03
2001-05-31,0.01,0.005,0.01,0.03,0.015,0.015,0.055,0.0,0.065,0.06,0.005,0.015,0.015,0.04,0.03,0.035,0.025,0.01,0.025,0.05,0.03,0.015,0.01,0.01,0.21,0.125,0.035,0.02,0.015,0.015
2001-06-30,0.014999999999999996,0.014999999999999996,0.009999999999999998,0.08499999999999999,0.004999999999999999,0.009999999999999998,0.029999999999999992,0.009999999999999998,0.019999999999999997,0.04999999999999999,0.004999999999999999,0.029999999999999992,0.014999999999999996,0.054999999999999986,0.07999999999999999,0.04499999999999999,0.019999999999999997,0.024999999999999994,0.009999999999999998,0.029999999999999992,0.0,0.004999999999999999,0.019999999999999997,0.0,0.14499999999999996,0.14999999999999997,0.029999999999999992,0.034999999999999996,0.009999999999999998,0.039999999999999994
2001-07-31,0.005,0.005,0.005,0.04,0.025,0.01,0.03,0.03,0.01,0.03,0.0,0.015,0.015,0.035,0.045,0.08,0.065,0.03,0.01,0.03,0.035,0.03,0.035,0.0,0.19,0.13,0.02,0.01,0.015,0.02
2001-08-31,0.02,0.035,0.0,0.025,0.02,0.04,0.015,0.01,0.015,0.025,0.0,0.025,0.025,0.04,0.045,0.095,0.065,0.025,0.03,0.045,0.0,0.015,0.03,0.01,0.125,0.175,0.015,0.02,0.0,0.01
2001-09-30,0.015,0.035,0.025,0.025,0.02,0.01,0.035,0.0,0.0,0.025,0.0,0.025,0.02,0.03,0.035,0.04,0.03,0.02,0.01,0.025,0.025,0.04,0.04,0.01,0.23,0.16,0.02,0.015,0.015,0.02
2001-10-31,0.02,0.03,0.035,0.015,0.07,0.02,0.015,0.025,0.015,0.045,0.0,0.035,0.03,0.02,0.03,0.04,0.03,0.035,0.025,0.02,0.03,0.02,0.02,0.005,0.185,0.12,0.02,0.025,0.0,0.02
