,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.05490863698824742,0.011590429049770125,-0.021659103969238647,22,10
2001-02-28,-0.05531786018406786,-0.0011098660852529656,-0.028213863134660414,31,15
2001-03-31,-0.013295710606768143,-0.09995156357535612,-0.05662363709106213,16,25
2001-04-30,0.031529869053323514,-0.024311846089714262,0.0036090114818046262,31,38
2001-05-31,-0.019869278147630058,-0.028535442184379124,-0.02420236016600459,36,32
2001-06-30,0.027873621667022164,-0.035476462805941515,-0.0038014205694596754,43,23
2001-07-31,-0.033380702711347236,0.036614147230519985,0.0016167222595863742,34,37
2001-08-31,-0.07005779436017659,0.12527111723013337,0.02760666143497839,20,48
2001-09-30,-0.0046371409959197335,-0.06966796775321267,-0.0371525543745662,14,54
2001-10-31,0.04390325201019107,-0.09519913739579919,-0.02564794269280406,23,46
2001-11-30,0.04482837490907329,-0.04821218799795937,-0.0016919065444430392,38,33
2001-12-31,0.01589327041878031,0.023574691995674812,0.01973398120722756,57,13
2002-01-31,-0.02666340723015675,-0.017093125489564046,-0.0218782663598604,50,21
2002-02-28,0.08813931611242629,-0.04523299843784134,0.02145315883729247,37,35
2002-03-31,-0.0586208412356561,0.008728543080614956,-0.02494614907752057,41,29
2002-04-30,-0.01926013406783776,-0.011966810575021521,-0.015613472321429641,36,35
2002-05-31,-0.04304282761053876,0.08477466032994897,0.020865916359705108,34,38
2002-06-30,-0.14643410052391664,0.12433246594091293,-0.011050817291501855,14,59
2002-07-31,0.10836450854615015,-0.03155996025876555,0.0384022741436923,6,66
2002-08-31,-0.08251788162178203,0.0972459012382193,0.007364009808218636,11,58
2002-09-30,0.07121634943724311,-0.0544756947732073,0.008370327332017907,13,58
2002-10-31,0.09381767967516169,-0.05854024562227242,0.017638717026444636,33,38
2002-11-30,-0.03547700659051774,0.039949360534828046,0.0022361769721551544,41,28
2002-12-31,-0.01554288587710317,0.024078542393074494,0.004267828257985662,39,28
2003-01-31,-0.005462923832801554,0.020991599306875313,0.007764337737036879,32,38
2003-02-28,-0.008204656670729721,-0.007236823032195102,-0.007720739851462412,23,47
2003-03-31,0.07606559830344901,-0.12019451449618267,-0.022064458096366826,29,36
2003-04-30,0.10918048488612009,-0.15885986196339533,-0.02483968853863762,58,12
2003-05-31,0.0026699352847586993,0.006361797087702849,0.004515866186230774,58,4
2003-06-30,0.02865663993550893,0.05875576339552704,0.04370620166551798,69,3
2003-07-31,0.013489661464298678,-0.04422092904055167,-0.015365633788126498,64,5
2003-08-31,0.0004703776707211673,0.020692676951004615,0.010581527310862891,48,18
2003-09-30,0.04463158896841872,-0.08738191040103455,-0.021375160716307913,29,32
2003-10-31,0.026964094002241458,-0.02684320249447346,6.0445753883999614e-05,36,22
2003-11-30,0.03375353735958153,-0.052459075303814696,-0.009352768972116583,31,35
2003-12-31,0.02547540339509331,-0.03267007158305203,-0.0035973340939793614,44,23
2004-01-31,0.026625185579226582,-0.01770120038926811,0.004461992594979236,28,38
2004-02-29,-0.0007521605895257463,-0.018509017574534686,-0.009630589082030216,28,39
2004-03-31,0.005528823992032144,-0.015557403223852089,-0.005014289615909972,17,47
2004-04-30,0.027305944891848965,-0.022715744762066937,0.002295100064891014,12,60
2004-05-31,0.03250068994676061,-0.03763714844873126,-0.002568229250985328,17,55
2004-06-30,-0.041676421190525205,0.04814767066454692,0.003235624737010858,23,48
2004-07-31,0.017341244526837205,0.0038003515021914638,0.010570798014514333,13,59
2004-08-31,0.007302902192358182,-0.06288676538231816,-0.027791931594979988,21,50
2004-09-30,0.020276947274050834,-0.028614639667363828,-0.004168846196656497,25,44
2004-10-31,0.054064552527910884,-0.041711973589025175,0.006176289469442854,40,29
2004-11-30,0.04341026313786085,-0.047470265046689226,-0.002030000954414187,44,20
2004-12-31,-0.0010212996941780105,0.006913340384682222,0.002946020345252106,35,21
2005-01-31,0.04431857399379464,-0.02042356478545362,0.011947504604170508,45,24
2005-02-28,-0.0070159265325684715,0.020832827000109,0.006908450233770265,35,33
2005-03-31,-0.03794210736903431,0.012932398415794426,-0.012504854476619944,28,44
2005-04-30,0.015317092147750016,-0.056955743985360956,-0.02081932591880547,28,43
2005-05-31,0.012780882359671071,-0.022608820856372856,-0.004913969248350893,38,35
2005-06-30,0.05334241216226497,-0.06123137401400883,-0.003944480925871928,39,29
2005-07-31,0.0005487243462801612,-0.005804930119854369,-0.002628102886787104,53,11
2005-08-31,0.021442909397121155,-0.013558250606123992,0.003942329395498581,44,25
2005-09-30,0.004186779957857588,0.008280037606511777,0.006233408782184683,39,32
