,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.029935149544129153,0.023464475985854258,-0.013103169843851079,147,124
2001-02-28,-0.06306751715474214,0.04798392136784955,-0.020809011208937914,143,143
2001-03-31,0.06758248711249754,-0.06264317825992673,-0.013842097748942548,86,211
2001-04-30,0.02260111499295023,-0.019308564183225203,0.0028099423848660095,128,148
2001-05-31,-0.02915625815903061,0.04864041561756601,-9.861892103841609e-05,151,124
2001-06-30,-0.0016604605200759262,-0.0011485294313255292,-0.0014957683500754044,194,98
2001-07-31,-0.04435473016947711,0.049058845329949495,-0.0005500013271469172,145,141
2001-08-31,-0.06712854049073773,0.053060480134325995,0.012344616186470205,102,201
2001-09-30,-0.023019391470695316,-0.019516779414849354,-0.020236511746728213,71,231
2001-10-31,0.034800274870492906,-0.07864963590630372,-0.040193592888476105,102,199
2001-11-30,0.008919023046372215,-0.02884135942383772,-0.010741456019678044,158,147
2001-12-31,-0.013907123014523542,0.008093881844975535,-0.007904416227698665,242,64
2002-01-31,0.011457200006410897,-0.013153430566639606,0.007193797044812694,221,88
2002-02-28,0.053025979201352366,-0.006295241971266912,0.027232333014921208,168,140
2002-03-31,-0.050970867008972846,0.03134644576162209,-0.01473495399882942,180,132
2002-04-30,-0.008444521077278284,0.001064868775567928,-0.0033055103110511846,161,152
2002-05-31,-0.038788448189394656,0.05308411361952797,0.01742685327341933,149,164
2002-06-30,-0.08718960875223467,0.06574463271737077,0.034723079824154464,66,246
2002-07-31,-0.000411909917983755,-0.013008415220420903,-0.011913631282481288,30,284
2002-08-31,-0.09372953306028954,0.07348260731938511,0.042243239383199696,61,255
2002-09-30,0.0542707361816535,-0.07147324044418267,-0.05295766346930023,56,259
2002-10-31,0.024930477702048818,-0.039380026719969756,-0.015681878286865503,139,175
2002-11-30,-0.03810150968800273,0.04617957119212371,0.0006860609294028081,187,121
2002-12-31,-0.026757915716039516,0.023321354913364317,-0.0014453102928261056,188,124
2003-01-31,-0.016128274648053963,0.018270771557212465,0.005609151627850312,140,168
2003-02-28,0.006314532118673892,-0.03230594208648726,-0.021430273498486703,115,199
2003-03-31,0.09157247803694218,-0.06949384956933014,0.004101923341797568,179,136
2003-04-30,0.05577553303504953,0.00482100831864112,0.045213574122647385,228,49
2003-05-31,0.01992475942659384,-0.015527316743973231,0.01651614000328485,218,30
2003-06-30,0.02012827427634413,-0.01500548396591466,0.01843502477374817,306,10
2003-07-31,0.00682943231425406,-0.018037209349967834,0.0029882738102204646,285,28
2003-08-31,-0.008834078453895132,0.016259483760973213,-0.0007495786245938379,201,115
2003-09-30,0.052064909990936645,-0.04990726288475765,0.0014772581262544153,155,144
2003-10-31,0.007924630135393256,0.0016661612610230359,0.004824413871738747,158,156
2003-11-30,0.047455024420105,-0.045034916643376784,0.0024422882855824834,132,116
2003-12-31,0.012660586728927106,-0.012952911103124028,0.004427821088411342,165,94
2004-01-31,0.043494934839123686,-0.02376730657383066,0.0031499035844834984,108,120
2004-02-29,-0.013063417730514629,0.0064681064051151215,-0.0009955266069588662,118,195
2004-03-31,-0.006808272897439407,0.0035449753972569133,0.0013709649716815205,69,247
2004-04-30,0.009894690675545046,-0.01130489493984721,-0.006768545196074856,54,262
2004-05-31,0.019335429270926283,-0.01913931968340217,-0.007758638568828765,64,231
2004-06-30,-0.028237017568613493,0.019760709294771642,-0.004401639076217368,102,163
2004-07-31,0.021320582166565582,-0.011794358539475532,-0.002943352188778888,69,208
2004-08-31,-0.02037149105882433,-0.01916089590785139,-0.019501619010000755,55,206
2004-09-30,0.005814710626551519,-0.014411805357116843,-0.005552508767101696,101,196
2004-10-31,0.02848544937902814,-0.048778992280235516,-0.0006901944359909481,149,138
2004-11-30,0.030084827780637726,-0.0385504812046354,0.017342462756787476,221,69
