,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.012515403934356554,0.0038667522807233237,-0.005371305735299163,150,116
2001-02-28,-0.04220514237636624,0.03896220569445432,-0.001485736989666961,149,150
2001-03-31,0.069757051445638,-0.08693429321467108,-0.03759549610709971,91,198
2001-04-30,0.04802027750161061,-0.03684685907620014,0.0028972577014365836,133,151
2001-05-31,-0.02447386056375156,0.00868349484065106,-0.009422910840933987,160,133
2001-06-30,0.011220289484290255,-0.01146503748262557,0.003550872894051809,186,95
2001-07-31,-0.026113105046344016,0.020471765138074832,-0.002900712686410226,146,145
2001-08-31,-0.09268738243174925,0.09055032363504867,0.026630193611747073,105,196
2001-09-30,0.032972559301368394,-0.05126200556256592,-0.032758019182619696,67,238
2001-10-31,0.06497280009612239,-0.09059664061806014,-0.03856845018053552,101,201
2001-11-30,0.03839286283191633,-0.054848934153902046,-0.004406650538623252,165,140
2001-12-31,0.011038043472125732,0.008988585934928017,0.01062815196468619,244,61
2002-01-31,0.005988518891529228,-0.017673797509756922,-0.0007069275499922552,223,88
2002-02-28,0.06907849137692115,-0.05006567371507317,0.011613459982068586,161,150
2002-03-31,-0.012294016196618861,0.004747936785921554,-0.0049036547090447,175,134
2002-04-30,-0.015481974428270649,-0.0006123405355228813,-0.008237793813855069,160,152
2002-05-31,-0.04841874953247523,0.04468027714566524,-0.0006756589283006279,152,160
2002-06-30,-0.10788107046668992,0.0891301333863349,0.05577040877224443,53,260
2002-07-31,-0.016999577173495282,-0.025104039107555473,-0.02435791404061025,29,286
2002-08-31,-0.06653878639142467,0.07493264746128987,0.05330644101246728,48,266
2002-09-30,0.04545375475035368,-0.04424138228047487,-0.029339953764171083,52,261
2002-10-31,0.08137881840583894,-0.07177979273256199,-0.0017644276407215687,144,171
2002-11-30,-0.03402900128312712,0.022207692427280414,-0.01070252704311885,182,129
2002-12-31,-0.027662888551807267,0.017772681467008163,-0.01040327266803647,191,117
2003-01-31,-0.02641891849609506,0.02361262567386968,4.007120917475352e-05,147,165
2003-02-28,0.021297319498701187,-0.028524743644716487,-0.010524514379997844,112,198
2003-03-31,0.08366068390738199,-0.09054733551865216,-0.0014953128088583437,160,153
2003-04-30,0.09704082358085185,-0.10219018575622145,0.06469335343018313,227,44
2003-05-31,0.018597692657136327,-0.017838451271901142,0.017069725331079918,297,13
2003-06-30,0.03505221304751975,-0.042982686162268906,0.023283015133912278,259,46
2003-07-31,0.03355125834523351,-0.028685142782831814,0.02613751777198435,281,38
2003-08-31,-0.00977857677629399,0.001441099291117789,-0.0066186047193330785,227,89
2003-09-30,0.06481007001075273,-0.08251402459273868,-0.01747462496845485,132,167
2003-10-31,0.020101196831636522,-0.012616799918956999,0.008874433240746589,201,105
2003-11-30,0.041117999630826796,-0.05238708026493895,-0.007667259445224897,121,132
2003-12-31,0.018731966896079307,-0.010274383801449613,0.008215720228847707,160,91
2004-01-31,0.034853286534304626,-0.032839146414785615,-0.0016417642730309815,106,124
2004-02-29,-0.0002481083418469942,-0.0077612644210085825,-0.005040553415597907,109,192
2004-03-31,-0.01157689029576226,0.0005738163547034996,-0.002415335121609163,77,236
2004-04-30,0.006330803413985596,-0.022917215305606847,-0.01794696375848656,52,254
2004-05-31,0.032217272659804556,-0.036001882755874216,-0.02052949699149346,66,225
2004-06-30,-0.03197003547718991,0.026279403706326202,0.005134059345186789,106,186
2004-07-31,0.010101522663941745,-0.00873248811110919,-0.00277328938931573,81,175
2004-08-31,0.02090341699866184,-0.03845018564176708,-0.02004436461389888,89,198
2004-09-30,0.0145131533445358,-0.024875659385496778,-0.011697246204444987,90,179
2004-10-31,0.06172107644562777,-0.06156794973682169,0.005916569857782225,156,129
2004-11-30,0.03788295127523778,-0.05661542133210609,0.012728708207095886,204,74
2004-12-31,-0.016581990850403967,0.010320335924476636,-0.01128007243491655,220,54
2005-01-31,0.029508472485571285,-0.025496309683570917,0.011777993251562077,185,88
2005-02-28,-0.013768766491820884,0.001669017509876102,-0.005539534523974143,113,129
2005-03-31,-0.022687300760147827,0.02032478710502572,0.0051271827259977325,106,194
2005-04-30,0.038751505689972536,-0.05040653808650458,-0.013611154940656884,130,185
2005-05-31,0.022526020263681123,-0.02532338044431428,-0.002431400968906407,133,145
2005-06-30,0.05039383561444394,-0.060406292929121475,-0.00956858689148558,117,138
2005-07-31,-0.006132028740965438,0.007491973594472772,-0.003784649960197368,245,51
2005-08-31,0.015261627464846985,-0.01734110401851035,0.0033337988733747894,182,105
2005-09-30,-0.012801024496574692,0.005732650982499251,-0.005280970867685264,186,127
2005-10-31,0.04151442827321792,-0.052299791164040835,-0.012920983005191481,136,188
2005-11-30,0.004531195517317863,-0.011351193739508339,-0.0019319849688984778,188,129
2005-12-31,0.04425059428995569,-0.05380891682266367,-0.0028689110498743933,160,148
2006-01-31,0.009516101349354508,-0.014138213853110397,0.003833382982395973,253,80
2006-02-28,0.018850793826341673,-0.02737106462218307,-0.0011894524939977252,162,124
2006-03-31,0.006203252808496365,-0.014333334747222027,-0.0012385768284190102,183,104
2006-04-30,-0.01845379523592008,0.02279139048466941,-3.514359733622246e-05,145,117
2006-05-31,0.012474095346397164,-0.009814058163348124,-0.0029756474274035467,81,183
2006-06-30,0.008509573406514353,0.01019109518223715,0.009840778145628235,55,209
2006-07-31,0.01652657546022129,-0.02280602710950174,-0.014810547242869518,62,243
2006-08-31,0.02398539585780769,-0.03162222924293532,-0.010881121488317347,116,195
2006-09-30,0.047506497780375995,-0.049482296355799295,-0.002660119876266397,154,165
2006-10-31,0.027611327091627304,-0.03198181895845298,0.008413535075494059,202,96
