year,month,rank_ME,rank_IA,rank_ROE,ret_vw
1967,1,1,1,1,16.9321
1967,2,1,1,1,2.5162
1967,3,1,1,1,5.8089
1967,4,1,1,1,1.8644
1967,5,1,1,1,0.5163
1967,6,1,1,1,7.5760
1967,7,1,1,1,10.2889
1967,8,1,1,1,1.2861
1967,9,1,1,1,5.0340
1967,10,1,1,1,-4.5420
1967,11,1,1,1,-2.1013
1967,12,1,1,1,7.7908
1968,1,1,1,1,2.2718
1968,2,1,1,1,-3.9247
1968,3,1,1,1,-1.7598
1968,4,1,1,1,11.3079
1968,5,1,1,1,6.1888
1968,6,1,1,1,1.1694
1968,7,1,1,1,-0.8055
1968,8,1,1,1,6.2684
1968,9,1,1,1,7.5075
1968,10,1,1,1,-1.2185
1968,11,1,1,1,5.9629
1968,12,1,1,1,1.0407
1969,1,1,1,1,-1.1020
1969,2,1,1,1,-9.6564
1969,3,1,1,1,0.4217
1969,4,1,1,1,-0.7216
1969,5,1,1,1,1.1009
1969,6,1,1,1,-12.3568
1969,7,1,1,1,-9.4260
1969,8,1,1,1,4.8114
1969,9,1,1,1,-1.2090
1969,10,1,1,1,9.5558
1969,11,1,1,1,-6.2640
1969,12,1,1,1,-9.0892
1970,1,1,1,1,-1.0652
1970,2,1,1,1,4.6158
1970,3,1,1,1,1.5517
1970,4,1,1,1,-14.0166
1970,5,1,1,1,-9.2710
1970,6,1,1,1,-7.4802
1970,7,1,1,1,4.6760
1970,8,1,1,1,8.9749
1970,9,1,1,1,10.4923
1970,10,1,1,1,-7.1128
1970,11,1,1,1,0.4301
1970,12,1,1,1,8.8526
1971,1,1,1,1,17.3243
1971,2,1,1,1,2.0517
1971,3,1,1,1,4.5350
1971,4,1,1,1,5.0106
1971,5,1,1,1,-4.5181
1971,6,1,1,1,-5.2845
1971,7,1,1,1,-6.2361
1971,8,1,1,1,6.0266
1971,9,1,1,1,-1.9615
1971,10,1,1,1,-6.6873
1971,11,1,1,1,-3.6850
1971,12,1,1,1,12.5529
1972,1,1,1,1,15.7762
1972,2,1,1,1,6.4742
1972,3,1,1,1,-0.0571
1972,4,1,1,1,0.5412
1972,5,1,1,1,-0.8679
1972,6,1,1,1,-0.6868
1972,7,1,1,1,-3.4126
1972,8,1,1,1,2.9937
1972,9,1,1,1,-5.0036
1972,10,1,1,1,-2.1433
1972,11,1,1,1,9.2267
1972,12,1,1,1,-1.7452
1973,1,1,1,1,-4.0257
1973,2,1,1,1,-6.9598
1973,3,1,1,1,-0.0184
1973,4,1,1,1,-5.2367
1973,5,1,1,1,-8.1403
1973,6,1,1,1,-1.5665
1973,7,1,1,1,9.6830
1973,8,1,1,1,-4.7596
1973,9,1,1,1,9.0683
1973,10,1,1,1,-0.0008
1973,11,1,1,1,-17.0239
1973,12,1,1,1,-4.1672
1974,1,1,1,1,19.6375
1974,2,1,1,1,1.9153
1974,3,1,1,1,0.2843
1974,4,1,1,1,-4.7870
1974,5,1,1,1,-7.8761
1974,6,1,1,1,-1.4369
1974,7,1,1,1,-4.7756
1974,8,1,1,1,-9.2255
1974,9,1,1,1,-7.6118
1974,10,1,1,1,5.8799
1974,11,1,1,1,-6.0215
